id,code,label
0,1,Petrol
1,2,Heavy oil
2,3,Electric
3,4,Steam
4,5,Gas
5,6,Petrol/Gas (LPG)
6,7,Gas/Bi-fuel
7,8,Hybrid electric
8,9,Fuel cells
9,10,New fuel technology
