Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2010440151016,442580,113420,-1.395637,50.918613,44,3,2,1,14/04/2010,4,00:01,500,E06000045,3,335,6,30,3,2,6,0,0,8,7,1,1,0,0,1,2,E01017159,1,9,0,3,0,1,0,0,0,0,2,1,15,2,6,1560,2,2,3,1,MINI                ,COOPER D CLUBMAN           ,1,1,2,6,3,0,0,0,0,-1,9,1
2010440151016,442580,113420,-1.395637,50.918613,44,3,2,1,14/04/2010,4,00:01,500,E06000045,3,335,6,30,3,2,6,0,0,8,7,1,1,0,0,1,2,E01017159,2,9,0,4,0,1,0,0,0,0,1,1,15,2,-1,1560,2,5,7,1,FORD                ,FOCUS C-MAX ZETEC TDCI E4  ,,,,,,,,,,,,
2010471002370,506310,105760,-0.491460,50.841543,47,2,1,4,14/04/2010,4,00:10,558,E10000032,3,27,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01031386,1,9,0,18,0,0,2,0,1,10,1,1,15,1,4,1124,1,9,8,1,PEUGEOT             ,106 INDEPENDENCE           ,1,1,1,4,3,0,0,0,0,-1,9,1
2010471002370,506310,105760,-0.491460,50.841543,47,2,1,4,14/04/2010,4,00:10,558,E10000032,3,27,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01031386,1,9,0,18,0,0,2,0,1,10,1,1,15,1,4,1124,1,9,8,1,PEUGEOT             ,106 INDEPENDENCE           ,2,2,1,4,2,0,0,1,0,-1,9,1
2010471002370,506310,105760,-0.491460,50.841543,47,2,1,4,14/04/2010,4,00:10,558,E10000032,3,27,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01031386,1,9,0,18,0,0,2,0,1,10,1,1,15,1,4,1124,1,9,8,1,PEUGEOT             ,106 INDEPENDENCE           ,3,2,2,4,3,0,0,2,0,-1,9,1
2010471002370,506310,105760,-0.491460,50.841543,47,2,1,4,14/04/2010,4,00:10,558,E10000032,3,27,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01031386,1,9,0,18,0,0,2,0,1,10,1,1,15,1,4,1124,1,9,8,1,PEUGEOT             ,106 INDEPENDENCE           ,4,2,2,4,3,0,0,2,0,-1,9,1
2010961000723,283960,679390,-3.861933,55.993434,96,3,1,2,14/04/2010,4,00:15,924,S12000014,4,816,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,,1,9,0,17,0,0,2,0,1,0,4,1,15,1,4,973,1,9,-1,1,VAUXHALL            ,CORSA COMFORT 12V          ,1,2,2,4,3,0,0,2,0,-1,9,1
2010961000723,283960,679390,-3.861933,55.993434,96,3,1,2,14/04/2010,4,00:15,924,S12000014,4,816,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,,1,9,0,17,0,0,2,0,1,0,4,1,15,1,4,973,1,9,-1,1,VAUXHALL            ,CORSA COMFORT 12V          ,2,1,1,4,3,0,0,0,0,-1,9,1
201001EO40198,529670,186690,-0.130624,51.564134,1,3,2,1,14/04/2010,4,00:33,3,E09000019,3,1,6,30,3,4,3,1,0,0,4,1,1,0,0,1,1,E01002774,1,9,0,18,0,6,0,0,0,0,1,1,15,1,8,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
201001EO40198,529670,186690,-0.130624,51.564134,1,3,2,1,14/04/2010,4,00:33,3,E09000019,3,1,6,30,3,4,3,1,0,0,4,1,1,0,0,1,1,E01002774,2,9,0,9,0,6,0,0,0,0,1,1,15,1,-1,999,1,11,-1,-1,VOLKSWAGEN          ,POLO 1.0 L                 ,1,1,1,-1,3,0,0,0,0,-1,9,-1
