Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200901QK59007,517520,185020,-0.306387,51.551786,1,3,1,1,19/12/2009,7,00:01,28,E09000005,3,404,6,30,3,4,5,0,0,0,4,8,4,0,0,1,1,E01000612,1,11,0,18,0,8,0,0,0,0,0,1,1,1,8,8300,2,3,-1,-1,ALEXANDER DENNIS    ,                           ,1,1,1,8,3,0,0,0,0,-1,11,-1
200945WO48186,496020,159550,-0.623281,51.326898,45,3,1,1,19/12/2009,7,00:05,518,E10000030,6,0,2,30,0,-1,-1,0,0,0,7,9,4,0,0,2,1,E01030975,1,9,0,17,0,0,1,0,1,4,4,1,1,1,7,-1,-1,-1,9,1,,,1,2,2,8,3,0,0,2,0,-1,9,1
2009030003373,338530,502160,-2.948634,54.411172,3,3,1,1,19/12/2009,7,00:10,65,E10000006,3,591,6,30,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01019375,1,8,0,16,0,0,5,10,0,10,1,1,1,1,7,1998,1,5,6,1,,,1,1,1,7,3,0,0,0,0,-1,8,1
200942I434112,550500,215020,0.181887,51.813506,42,3,2,1,19/12/2009,7,00:10,456,E10000012,1,11,3,70,0,0,-1,0,0,0,6,1,2,0,0,2,1,E01021795,1,9,0,18,0,0,0,0,4,6,1,1,15,1,8,-1,-1,-1,4,1,,,1,1,1,8,3,0,0,0,0,-1,9,1
200942I434112,550500,215020,0.181887,51.813506,42,3,2,1,19/12/2009,7,00:10,456,E10000012,1,11,3,70,0,0,-1,0,0,0,6,1,2,0,0,2,1,E01021795,2,9,0,18,0,0,0,0,4,6,1,1,15,2,6,1905,2,11,9,2,PEUGEOT             ,306 D TURBO S              ,,,,,,,,,,,,
200932C382909,531950,389640,-0.017419,53.387108,32,2,2,3,19/12/2009,7,00:16,351,E10000019,3,16,6,60,0,-1,-1,0,0,0,4,6,3,0,0,2,1,E01026077,1,9,0,18,0,0,1,0,7,0,2,1,15,2,6,1364,1,2,5,3,VAUXHALL            ,TIGRA EXCLUSIV             ,,,,,,,,,,,,
200932C382909,531950,389640,-0.017419,53.387108,32,2,2,3,19/12/2009,7,00:16,351,E10000019,3,16,6,60,0,-1,-1,0,0,0,4,6,3,0,0,2,1,E01026077,2,9,0,18,0,0,1,0,7,3,1,1,15,2,6,3200,2,5,6,3,MITSUBISHI          ,SHOGUN DI-D ELEG-CE LWB A  ,1,1,2,6,3,0,0,0,0,-1,9,3
200932C382909,531950,389640,-0.017419,53.387108,32,2,2,3,19/12/2009,7,00:16,351,E10000019,3,16,6,60,0,-1,-1,0,0,0,4,6,3,0,0,2,1,E01026077,2,9,0,18,0,0,1,0,7,3,1,1,15,2,6,3200,2,5,6,3,MITSUBISHI          ,SHOGUN DI-D ELEG-CE LWB A  ,2,2,1,6,2,0,0,1,0,-1,9,3
200932C382909,531950,389640,-0.017419,53.387108,32,2,2,3,19/12/2009,7,00:16,351,E10000019,3,16,6,60,0,-1,-1,0,0,0,4,6,3,0,0,2,1,E01026077,2,9,0,18,0,0,1,0,7,3,1,1,15,2,6,3200,2,5,6,3,MITSUBISHI          ,SHOGUN DI-D ELEG-CE LWB A  ,3,2,1,-1,3,0,0,2,0,-1,9,3
200920G076901,388510,297050,-2.170977,52.571121,20,3,1,1,19/12/2009,7,00:20,309,E08000031,6,0,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,1,E01010487,1,9,0,18,0,0,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1,,,1,3,1,6,3,5,1,0,0,-1,0,1
