Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201001PY20704,544180,158370,0.067053,51.306134,1,3,1,1,30/11/2010,3,00:01,19,E09000006,6,0,6,30,0,-1,-1,0,0,0,6,3,3,0,0,2,1,E01000748,1,9,0,18,0,0,5,10,7,0,3,1,2,2,4,1398,1,8,8,3,TOYOTA              ,COROLLA T3 VVTI            ,1,1,2,4,3,0,0,0,0,-1,9,3
2010130513185,413870,418170,-1.791593,53.659832,13,2,1,1,30/11/2010,3,00:01,203,E08000034,6,0,6,30,0,-1,-1,0,0,0,7,3,1,0,0,1,1,E01011043,1,9,0,18,0,0,1,0,1,0,1,1,15,1,7,1951,2,4,8,1,LAND ROVER          ,FREELANDER SPORT TD        ,1,3,1,2,2,5,3,0,0,-1,0,1
2010130513985,395070,424160,-2.076180,53.713829,13,2,1,1,30/11/2010,3,00:01,202,E08000033,6,0,6,30,0,-1,-1,0,0,0,4,3,3,0,0,2,1,E01010984,1,17,0,18,0,0,0,0,0,0,1,1,15,1,9,-1,2,13,4,3,JOHN DEERE          ,                           ,1,3,1,8,2,10,9,0,0,-1,0,1
201054EO42410,410940,187680,-1.843501,51.587821,54,2,1,2,30/11/2010,3,00:40,635,E06000054,4,4553,6,60,0,0,-1,0,0,0,6,3,2,0,0,2,1,E01031954,1,9,0,17,0,0,1,6,0,0,4,1,15,1,4,1390,1,10,1,1,,,1,1,1,4,2,0,0,0,0,-1,9,1
201054EO42410,410940,187680,-1.843501,51.587821,54,2,1,2,30/11/2010,3,00:40,635,E06000054,4,4553,6,60,0,0,-1,0,0,0,6,3,2,0,0,2,1,E01031954,1,9,0,17,0,0,1,6,0,0,4,1,15,1,4,1390,1,10,1,1,,,2,2,1,4,2,0,0,1,0,-1,9,1
2010231091292,406430,259900,-1.907271,52.237220,23,3,1,1,30/11/2010,3,01:00,293,E10000031,4,4090,6,50,0,-1,-1,0,0,0,6,3,3,0,0,2,1,E01031184,1,9,0,18,0,0,2,0,1,9,3,1,15,1,5,1596,1,8,5,2,,,1,1,1,5,3,0,0,0,0,-1,9,2
201032B367410,518430,313710,-0.248485,52.708079,32,2,1,4,30/11/2010,3,01:00,354,E10000019,3,16,6,50,0,-1,-1,0,0,0,4,1,4,0,0,2,1,E01026241,1,9,0,17,0,0,2,0,7,3,1,1,15,1,4,1149,1,8,-1,-1,RENAULT             ,CLIO AUTHENTIQUE           ,1,2,1,4,3,0,0,1,0,-1,9,1
201032B367410,518430,313710,-0.248485,52.708079,32,2,1,4,30/11/2010,3,01:00,354,E10000019,3,16,6,50,0,-1,-1,0,0,0,4,1,4,0,0,2,1,E01026241,1,9,0,17,0,0,2,0,7,3,1,1,15,1,4,1149,1,8,-1,-1,RENAULT             ,CLIO AUTHENTIQUE           ,2,2,1,4,3,0,0,2,0,-1,9,3
201032B367410,518430,313710,-0.248485,52.708079,32,2,1,4,30/11/2010,3,01:00,354,E10000019,3,16,6,50,0,-1,-1,0,0,0,4,1,4,0,0,2,1,E01026241,1,9,0,17,0,0,2,0,7,3,1,1,15,1,4,1149,1,8,-1,-1,RENAULT             ,CLIO AUTHENTIQUE           ,3,2,2,4,2,0,0,2,0,-1,9,1
201032B367410,518430,313710,-0.248485,52.708079,32,2,1,4,30/11/2010,3,01:00,354,E10000019,3,16,6,50,0,-1,-1,0,0,0,4,1,4,0,0,2,1,E01026241,1,9,0,17,0,0,2,0,7,3,1,1,15,1,4,1149,1,8,-1,-1,RENAULT             ,CLIO AUTHENTIQUE           ,4,2,1,3,3,0,0,2,0,-1,9,3
