Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201001ZT80216,528870,164090,-0.150391,51.361211,1,3,1,1,10/07/2010,7,00:05,21,E09000029,3,237,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01004170,1,9,0,18,0,1,0,0,0,0,1,1,2,1,8,2495,1,6,6,1,JAGUAR              ,X-TYPE SE AWD AUTO         ,1,3,1,4,3,4,3,0,0,-1,0,1
2010471004529,567860,109010,0.383567,50.856177,47,3,1,1,10/07/2010,7,00:07,556,E10000011,4,2095,6,20,0,-1,-1,0,0,0,6,1,1,5,0,2,1,E01021205,1,9,0,18,0,0,2,10,7,0,1,1,1,2,4,1389,1,14,3,1,,,1,1,2,4,3,0,0,0,0,-1,9,1
2010351626210,545930,259620,0.134634,52.215433,35,3,3,2,10/07/2010,7,00:15,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01018008,1,9,0,18,0,0,0,0,0,0,1,1,15,1,6,998,1,4,1,1,TOYOTA              ,AYGO+ VVT-I                ,1,1,1,6,3,0,0,0,0,-1,9,1
2010351626210,545930,259620,0.134634,52.215433,35,3,3,2,10/07/2010,7,00:15,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01018008,1,9,0,18,0,0,0,0,0,0,1,1,15,1,6,998,1,4,1,1,TOYOTA              ,AYGO+ VVT-I                ,2,2,1,6,3,0,0,1,0,-1,9,1
2010351626210,545930,259620,0.134634,52.215433,35,3,3,2,10/07/2010,7,00:15,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01018008,2,9,0,2,0,0,0,0,0,0,1,1,15,1,-1,1596,1,8,-1,-1,,,,,,,,,,,,,,
2010351626210,545930,259620,0.134634,52.215433,35,3,3,2,10/07/2010,7,00:15,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01018008,3,9,0,2,0,0,0,0,0,0,1,1,15,2,-1,973,1,11,-1,-1,VAUXHALL            ,CORSA GLS 12V              ,,,,,,,,,,,,
201043P084070,423860,218790,-1.654890,51.867139,43,3,2,1,10/07/2010,7,00:15,485,E10000025,6,211,6,30,6,4,6,0,0,0,1,1,1,0,0,2,2,E01028798,1,9,0,18,0,6,0,0,0,0,4,1,15,2,9,1299,1,5,9,3,FORD                ,KA DESIGN                  ,,,,,,,,,,,,
201043P084070,423860,218790,-1.654890,51.867139,43,3,2,1,10/07/2010,7,00:15,485,E10000025,6,211,6,30,6,4,6,0,0,0,1,1,1,0,0,2,2,E01028798,2,1,0,18,0,8,0,0,0,0,1,1,15,2,-1,-1,-1,-1,-1,-1,,,1,1,2,-1,3,0,0,0,0,-1,1,-1
2010550D29310,364040,85780,-2.510257,50.670501,55,3,2,1,10/07/2010,7,00:15,645,E10000009,5,122,6,60,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01020512,1,9,0,4,0,0,0,0,0,0,2,1,15,1,4,1905,2,12,7,3,PEUGEOT             ,306 D TURBO                ,,,,,,,,,,,,
2010550D29310,364040,85780,-2.510257,50.670501,55,3,2,1,10/07/2010,7,00:15,645,E10000009,5,122,6,60,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01020512,2,9,0,4,0,0,0,0,0,0,1,1,15,2,4,954,1,12,6,1,CITROEN             ,SAXO SCANDAL               ,1,1,2,4,3,0,0,0,0,-1,9,1
2010460188465,563680,171350,0.352539,51.417481,46,3,1,1,10/07/2010,7,00:19,535,E10000016,3,2,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01024269,1,9,0,18,0,0,0,0,2,7,1,1,15,1,6,1343,1,6,3,1,KIA                 ,RIO LE                     ,1,1,1,6,3,0,0,0,0,-1,9,1
201001SX20737,526350,194240,-0.175779,51.632739,1,3,2,1,10/07/2010,7,00:20,30,E09000003,3,1000,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01000281,1,9,0,18,0,2,0,0,0,0,2,1,2,1,8,1796,1,9,10,1,,,1,1,1,8,3,0,0,0,0,-1,9,1
201001SX20737,526350,194240,-0.175779,51.632739,1,3,2,1,10/07/2010,7,00:20,30,E09000003,3,1000,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01000281,2,9,0,6,0,2,0,0,0,0,1,1,15,2,5,1198,1,5,4,1,VOLKSWAGEN          ,POLO E                     ,,,,,,,,,,,,
201032D197710,497270,370260,-0.544597,53.220480,32,3,1,1,10/07/2010,7,00:20,352,E10000019,4,1262,3,30,0,-1,-1,0,0,1,4,8,1,0,0,1,2,E01026178,1,9,0,18,0,0,0,0,0,0,1,1,1,1,9,1896,2,5,7,1,VOLKSWAGEN          ,PASSAT HIGHLINE TDI 130    ,1,3,1,4,3,10,9,0,0,-1,0,-1
201014K187010,434400,387160,-1.484330,53.380165,14,3,2,3,10/07/2010,7,00:22,215,E08000019,4,6547,3,30,6,2,3,61,0,5,4,1,1,0,0,1,1,E01007866,1,9,0,18,0,8,0,0,0,0,1,1,15,1,5,1598,1,4,-1,-1,VAUXHALL            ,ASTRA SXI TWINPORT         ,3,2,1,5,3,0,0,1,0,-1,9,-1
