Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
20094100B0157,523930,212070,-0.204391,51.793513,41,3,1,1,22/08/2009,7,00:01,438,E10000015,3,1000,1,30,1,4,3,1000,0,4,4,1,1,0,0,2,2,E01023940,1,9,0,18,0,4,0,9,0,0,1,1,15,1,4,1124,1,12,4,1,PEUGEOT             ,106 EXTRA TIME             ,1,1,1,4,3,0,0,0,0,-1,9,1
2009609159654,248350,361210,-4.267942,53.126414,60,2,1,1,22/08/2009,7,00:01,722,W06000002,3,487,6,40,0,-1,-1,0,0,0,4,1,2,0,0,2,1,W01000111,1,9,0,18,0,0,0,0,0,0,1,1,15,1,10,1753,2,3,-1,2,FORD                ,FOCUS C-MAX LX TDCI(E4)    ,1,3,1,6,2,9,7,0,0,-1,0,1
200997AB04008,258880,665550,-4.256462,55.862455,97,2,1,1,22/08/2009,7,00:05,926,S12000043,6,0,3,30,6,2,6,0,0,4,4,2,2,0,0,1,1,,1,8,0,18,0,1,0,0,0,0,1,1,1,1,8,2402,2,7,-1,1,LONDON TAXIS INT    ,TXII BRONZE                ,1,3,1,5,2,1,3,0,0,-1,0,2
200901MM70656,532900,176680,-0.087824,51.473427,1,3,2,1,22/08/2009,7,00:10,8,E09000028,3,202,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01003913,1,8,0,18,0,8,0,0,0,0,3,1,15,1,7,-1,-1,-1,3,1,MERCEDES            ,VITO 111 CDI LONG          ,1,1,1,7,3,0,0,0,0,-1,8,1
200901MM70656,532900,176680,-0.087824,51.473427,1,3,2,1,22/08/2009,7,00:10,8,E09000028,3,202,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01003913,2,9,0,18,0,8,0,0,0,0,3,1,15,1,8,1997,1,4,3,1,CITROEN             ,XSARA PICASSO EXCL AUTO    ,,,,,,,,,,,,
20093104C2495,457500,339880,-1.145582,52.953203,31,3,1,1,22/08/2009,7,00:10,346,E06000018,6,0,2,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013869,1,9,0,18,0,2,0,0,0,0,4,1,15,1,5,1590,1,12,5,1,HONDA               ,CIVIC 1.6I ES AUTO         ,1,3,1,6,3,5,1,0,0,-1,0,-1
2009530199342,380830,213290,-2.279529,51.817861,53,3,1,2,22/08/2009,7,00:10,623,E10000013,4,4008,6,30,1,4,4,4008,0,0,4,1,1,0,0,1,1,E01022337,1,4,0,18,0,4,0,0,0,0,3,1,15,1,4,398,1,1,7,1,SUZUKI              ,DRZ 400 SM K7              ,1,2,1,4,3,0,0,0,0,-1,4,1
2009530199342,380830,213290,-2.279529,51.817861,53,3,1,2,22/08/2009,7,00:10,623,E10000013,4,4008,6,30,1,4,4,4008,0,0,4,1,1,0,0,1,1,E01022337,1,4,0,18,0,4,0,0,0,0,3,1,15,1,4,398,1,1,7,1,SUZUKI              ,DRZ 400 SM K7              ,2,1,1,4,3,0,0,0,0,-1,4,1
200932D236909,496700,367240,-0.554046,53.193445,32,3,1,3,22/08/2009,7,00:11,352,E10000019,5,1,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01026137,1,9,0,7,0,1,0,0,1,1,1,1,15,1,4,1995,2,9,7,1,VAUXHALL            ,ASTRA LS DTI               ,1,1,1,4,3,0,0,0,0,-1,9,1
200932D236909,496700,367240,-0.554046,53.193445,32,3,1,3,22/08/2009,7,00:11,352,E10000019,5,1,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01026137,1,9,0,7,0,1,0,0,1,1,1,1,15,1,4,1995,2,9,7,1,VAUXHALL            ,ASTRA LS DTI               ,2,2,1,4,3,0,0,1,0,-1,9,1
