Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2010100681510,423530,565100,-1.633876,54.979975,10,3,1,2,28/10/2010,5,00:06,147,E08000021,3,189,6,30,3,4,6,126,0,1,4,1,2,0,0,1,1,E01008396,1,9,0,18,0,1,1,0,8,7,3,1,15,1,5,1995,2,7,7,1,BMW                 ,320D SPORT                 ,1,1,1,5,3,0,0,0,0,-1,9,1
2010100681510,423530,565100,-1.633876,54.979975,10,3,1,2,28/10/2010,5,00:06,147,E08000021,3,189,6,30,3,4,6,126,0,1,4,1,2,0,0,1,1,E01008396,1,9,0,18,0,1,1,0,8,7,3,1,15,1,5,1995,2,7,7,1,BMW                 ,320D SPORT                 ,2,2,1,5,3,0,0,1,0,-1,9,1
2010520009443,359130,134870,-2.585242,51.111600,52,3,2,1,28/10/2010,5,00:08,606,E10000027,3,37,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01029077,1,9,0,18,0,0,0,0,1,10,1,1,15,1,5,1396,1,11,6,3,ROVER               ,414 I                      ,1,1,1,5,3,0,0,0,0,-1,9,3
2010520009443,359130,134870,-2.585242,51.111600,52,3,2,1,28/10/2010,5,00:08,606,E10000027,3,37,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01029077,2,9,0,2,0,0,0,0,0,0,1,1,15,3,-1,1769,1,8,6,3,,,,,,,,,,,,,,
201001WW50856,526220,175340,-0.184432,51.462913,1,3,1,1,28/10/2010,5,00:10,10,E09000032,3,3205,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01004578,1,3,0,18,0,0,1,10,4,6,3,1,1,1,4,-1,-1,-1,-1,-1,VOLKSWAGEN          ,POLO E 70                  ,1,1,1,4,3,0,0,0,0,-1,3,-1
201014A172310,455380,405710,-1.165702,53.545108,14,3,1,1,28/10/2010,5,00:15,211,E08000017,6,0,6,30,0,0,-1,0,0,0,4,4,1,0,0,1,1,E01007515,1,8,0,3,0,0,0,0,0,0,1,1,1,1,9,1753,2,9,5,1,FORD                ,FOCUS LX TD DI             ,1,3,1,6,3,8,5,0,0,-1,0,1
2010331006415,462380,285170,-1.083318,52.460891,33,3,1,1,28/10/2010,5,00:15,363,E10000018,4,5414,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01025771,1,9,0,17,0,0,1,0,7,0,2,1,15,2,4,1360,1,4,8,3,PEUGEOT             ,1007 DOLCE                 ,1,2,2,4,3,0,0,1,0,-1,9,3
2010070315332,373730,376340,-2.395493,53.283363,7,3,1,3,28/10/2010,5,00:28,129,E06000049,1,6,3,70,0,0,-1,0,0,0,6,2,2,0,0,2,1,E01018648,1,9,0,18,0,0,2,0,1,1,3,1,15,1,5,1896,2,7,-1,3,,,1,1,1,5,3,0,0,0,0,-1,9,3
2010070315332,373730,376340,-2.395493,53.283363,7,3,1,3,28/10/2010,5,00:28,129,E06000049,1,6,3,70,0,0,-1,0,0,0,6,2,2,0,0,2,1,E01018648,1,9,0,18,0,0,2,0,1,1,3,1,15,1,5,1896,2,7,-1,3,,,2,2,2,6,3,0,0,1,0,-1,9,3
2010070315332,373730,376340,-2.395493,53.283363,7,3,1,3,28/10/2010,5,00:28,129,E06000049,1,6,3,70,0,0,-1,0,0,0,6,2,2,0,0,2,1,E01018648,1,9,0,18,0,0,2,0,1,1,3,1,15,1,5,1896,2,7,-1,3,,,3,2,2,1,3,0,0,2,0,-1,9,3
