Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200906Q011067,395410,404540,-2.070733,53.537480,6,3,2,2,23/02/2009,2,00:03,104,E08000004,3,669,6,30,3,4,5,0,0,0,4,2,2,0,0,1,1,E01005389,1,9,0,17,0,8,1,0,0,0,1,1,15,2,5,1149,1,7,2,1,RENAULT             ,CLIO AUTHENTIQUE           ,,,,,,,,,,,,
200906Q011067,395410,404540,-2.070733,53.537480,6,3,2,2,23/02/2009,2,00:03,104,E08000004,3,669,6,30,3,4,5,0,0,0,4,2,2,0,0,1,1,E01005389,2,9,0,16,0,8,0,0,0,0,1,1,15,2,6,1598,1,10,2,1,,,1,2,1,7,3,0,0,1,0,-1,9,1
200906Q011067,395410,404540,-2.070733,53.537480,6,3,2,2,23/02/2009,2,00:03,104,E08000004,3,669,6,30,3,4,5,0,0,0,4,2,2,0,0,1,1,E01005389,2,9,0,16,0,8,0,0,0,0,1,1,15,2,6,1598,1,10,2,1,,,2,1,2,6,3,0,0,0,0,-1,9,1
2009609033321,248680,374330,-4.269229,53.244352,60,2,1,1,23/02/2009,2,00:26,720,W06000001,6,0,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,W01000025,1,9,0,18,0,0,5,0,0,10,1,1,15,1,8,2495,2,12,-1,3,LAND ROVER          ,DISCOVERY TDI              ,1,1,1,8,2,0,0,0,0,-1,9,3
200904AX09020,331320,436300,-3.044716,53.818421,4,3,1,1,23/02/2009,2,00:40,71,E06000009,3,583,6,30,6,2,3,586,0,5,4,1,2,0,0,1,1,E01012737,1,9,0,9,0,8,2,0,0,0,1,1,15,1,4,1242,1,11,3,1,,,1,1,1,4,3,0,0,0,0,-1,9,1
2009120030462,422050,480270,-1.663348,54.217694,12,3,1,1,23/02/2009,2,00:40,182,E10000023,5,121,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01027685,1,9,0,17,0,0,5,0,2,10,1,1,15,1,6,1598,1,2,6,3,,,1,1,1,6,3,0,0,0,0,-1,9,3
200922F901029,342200,316050,-2.857562,52.738952,22,3,1,1,23/02/2009,2,00:45,282,E06000051,3,5,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01028969,1,9,0,18,0,0,2,0,1,0,1,1,15,1,6,1799,1,10,-1,-1,VAUXHALL            ,VECTRA ARCTIC 16V          ,1,1,1,6,3,0,0,0,0,-1,9,-1
200945RE35687,528640,152030,-0.158038,51.252877,45,2,2,1,23/02/2009,2,00:50,513,E10000030,5,224,6,30,3,4,6,1181,0,0,4,1,1,0,0,1,1,E01030610,1,1,0,18,0,2,0,0,0,0,0,1,15,1,4,-1,-1,-1,2,1,,,1,1,1,4,2,0,0,0,0,-1,1,1
200945RE35687,528640,152030,-0.158038,51.252877,45,2,2,1,23/02/2009,2,00:50,513,E10000030,5,224,6,30,3,4,6,1181,0,0,4,1,1,0,0,1,1,E01030610,2,9,0,2,0,2,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1,FORD                ,TRANSIT CONN T200 75       ,,,,,,,,,,,,
200920L032901,415020,282950,-1.780457,52.444280,20,3,1,1,23/02/2009,2,01:15,306,E08000029,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01010133,1,8,0,5,0,0,0,0,0,0,0,1,1,1,8,1998,1,9,1,1,RENAULT             ,ESPACE ALIZE               ,1,2,2,4,3,0,0,2,0,-1,8,1
2009440080301,450050,109900,-1.289857,50.886363,44,3,2,1,23/02/2009,2,01:15,492,E10000014,1,27,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01022773,1,9,0,13,0,0,0,0,0,0,4,1,15,1,6,1896,2,4,-1,-1,,,1,1,1,6,3,0,0,0,0,-1,9,-1
2009440080301,450050,109900,-1.289857,50.886363,44,3,2,1,23/02/2009,2,01:15,492,E10000014,1,27,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01022773,2,21,0,18,0,0,0,0,0,0,3,1,1,1,7,11946,2,4,4,1,MERCEDES            ,                           ,,,,,,,,,,,,
2009130143309,412990,436250,-1.804155,53.822361,13,3,2,4,23/02/2009,2,01:19,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01010675,1,9,0,18,0,0,0,0,7,0,1,1,15,1,7,1896,2,5,1,1,FORD                ,GALAXY ZETEC TDI AUTO      ,1,1,1,7,3,0,0,0,0,-1,9,1
2009130143309,412990,436250,-1.804155,53.822361,13,3,2,4,23/02/2009,2,01:19,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01010675,1,9,0,18,0,0,0,0,7,0,1,1,15,1,7,1896,2,5,1,1,FORD                ,GALAXY ZETEC TDI AUTO      ,3,2,1,7,3,0,0,1,0,-1,9,1
2009130143309,412990,436250,-1.804155,53.822361,13,3,2,4,23/02/2009,2,01:19,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01010675,1,9,0,18,0,0,0,0,7,0,1,1,15,1,7,1896,2,5,1,1,FORD                ,GALAXY ZETEC TDI AUTO      ,4,2,1,6,3,0,0,2,0,-1,9,1
2009130143309,412990,436250,-1.804155,53.822361,13,3,2,4,23/02/2009,2,01:19,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01010675,2,9,0,18,0,0,0,0,0,10,1,1,15,1,7,1896,2,3,3,1,SKODA               ,OCTAVIA CLASSIC TDI        ,2,1,1,7,3,0,0,0,0,-1,9,1
200930B000079,423080,342420,-1.657717,52.978614,30,3,1,1,23/02/2009,2,01:55,329,E10000007,3,52,6,50,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01019603,1,9,0,18,0,0,0,0,7,4,1,1,15,1,5,1905,2,12,1,1,PEUGEOT             ,406 LX DT                  ,1,1,1,5,3,0,0,0,0,-1,9,1
2009520901751,319970,123700,-3.142094,51.007038,52,3,1,3,23/02/2009,2,02:15,608,E10000027,3,38,6,40,0,-1,-1,0,0,0,6,1,1,0,7,1,1,E01029256,1,9,0,16,0,0,5,10,1,1,4,1,15,1,4,-1,-1,-1,5,1,,,1,1,1,4,3,0,0,0,0,-1,9,1
2009520901751,319970,123700,-3.142094,51.007038,52,3,1,3,23/02/2009,2,02:15,608,E10000027,3,38,6,40,0,-1,-1,0,0,0,6,1,1,0,7,1,1,E01029256,1,9,0,16,0,0,5,10,1,1,4,1,15,1,4,-1,-1,-1,5,1,,,2,2,1,4,3,0,0,1,0,-1,9,1
2009520901751,319970,123700,-3.142094,51.007038,52,3,1,3,23/02/2009,2,02:15,608,E10000027,3,38,6,40,0,-1,-1,0,0,0,6,1,1,0,7,1,1,E01029256,1,9,0,16,0,0,5,10,1,1,4,1,15,1,4,-1,-1,-1,5,1,,,3,2,1,4,3,0,0,2,0,-1,9,1
200945TA35675,534420,141000,-0.079390,51.152417,45,3,1,1,23/02/2009,2,02:20,516,E10000030,4,2028,6,50,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01030816,1,9,0,17,6,0,5,0,1,4,1,1,15,1,5,1796,1,10,9,2,,,1,1,1,5,3,0,0,0,0,-1,9,2
200943S077029,485960,239290,-0.748008,52.045308,43,3,1,3,23/02/2009,2,03:15,479,E06000042,4,4034,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01016730,1,9,0,12,0,0,0,0,1,10,1,1,15,1,4,1388,1,5,-1,-1,FORD                ,FIESTA FLAME               ,1,1,1,4,3,0,0,0,0,-1,9,-1
200943S077029,485960,239290,-0.748008,52.045308,43,3,1,3,23/02/2009,2,03:15,479,E06000042,4,4034,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01016730,1,9,0,12,0,0,0,0,1,10,1,1,15,1,4,1388,1,5,-1,-1,FORD                ,FIESTA FLAME               ,2,2,1,4,3,0,0,1,0,-1,9,1
200943S077029,485960,239290,-0.748008,52.045308,43,3,1,3,23/02/2009,2,03:15,479,E06000042,4,4034,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01016730,1,9,0,12,0,0,0,0,1,10,1,1,15,1,4,1388,1,5,-1,-1,FORD                ,FIESTA FLAME               ,3,2,1,4,3,0,0,2,0,-1,9,-1
20094100J2089,518620,200730,-0.285213,51.692748,41,3,2,1,23/02/2009,2,05:31,33,E10000015,5,84,6,30,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01023582,1,90,0,17,0,0,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
20094100J2089,518620,200730,-0.285213,51.692748,41,3,2,1,23/02/2009,2,05:31,33,E10000015,5,84,6,30,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01023582,2,9,0,16,0,0,0,0,7,4,1,1,1,1,6,1364,1,4,4,1,,,1,1,1,6,3,0,0,0,0,-1,9,1
200943S078029,487340,241510,-0.727324,52.065047,43,2,2,2,23/02/2009,2,05:47,479,E06000042,5,144,6,60,3,4,6,1158,0,0,4,1,1,0,0,1,1,E01016769,1,9,0,9,0,8,0,0,0,0,1,1,2,2,9,1242,1,9,6,1,,,1,1,2,9,2,0,0,0,0,-1,9,1
200943S078029,487340,241510,-0.727324,52.065047,43,2,2,2,23/02/2009,2,05:47,479,E06000042,5,144,6,60,3,4,6,1158,0,0,4,1,1,0,0,1,1,E01016769,2,9,0,18,0,8,0,0,0,0,1,1,2,1,8,1589,1,11,6,1,ROVER               ,416 SI                     ,2,1,1,8,3,0,0,0,0,-1,9,1
