Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201063CP06910,198990,201260,-4.908626,51.674009,63,3,2,1,20/03/2010,7,00:01,752,W06000009,3,4139,1,30,2,4,3,4075,0,4,4,2,2,0,0,2,1,W01000609,1,9,0,18,0,4,0,0,0,0,1,1,15,2,4,1242,1,9,-1,3,FIAT                ,PUNTO ELX 8V               ,,,,,,,,,,,,
201063CP06910,198990,201260,-4.908626,51.674009,63,3,2,1,20/03/2010,7,00:01,752,W06000009,3,4139,1,30,2,4,3,4075,0,4,4,2,2,0,0,2,1,W01000609,2,9,0,18,0,3,0,0,0,0,4,1,2,2,8,1461,2,6,-1,3,,,1,1,2,8,3,0,0,0,0,-1,9,3
2010983114810,309430,571950,-3.418611,55.033816,98,1,4,3,20/03/2010,7,00:01,917,S12000006,3,75,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,1,9,0,13,0,0,0,0,1,0,1,1,2,1,7,1461,2,1,-1,2,RENAULT             ,MEGANE DYNAMIQUE DCI 106   ,1,1,1,7,2,0,0,0,0,-1,9,2
2010983114810,309430,571950,-3.418611,55.033816,98,1,4,3,20/03/2010,7,00:01,917,S12000006,3,75,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,2,9,0,18,0,0,5,0,1,7,1,1,15,1,9,1761,1,11,8,1,CITROEN             ,XANTIA LX 16V              ,2,1,1,9,1,0,0,0,0,-1,9,1
2010983114810,309430,571950,-3.418611,55.033816,98,1,4,3,20/03/2010,7,00:01,917,S12000006,3,75,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,2,9,0,18,0,0,5,0,1,7,1,1,15,1,9,1761,1,11,8,1,CITROEN             ,XANTIA LX 16V              ,3,2,2,9,1,0,0,1,0,-1,9,1
2010983114810,309430,571950,-3.418611,55.033816,98,1,4,3,20/03/2010,7,00:01,917,S12000006,3,75,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,3,21,1,18,0,0,0,0,0,0,3,1,1,1,6,-1,-1,-1,-1,-1,VOLVO               ,                           ,,,,,,,,,,,,
2010983114810,309430,571950,-3.418611,55.033816,98,1,4,3,20/03/2010,7,00:01,917,S12000006,3,75,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,4,9,0,18,0,0,0,0,0,0,0,1,15,1,8,1998,1,14,-1,1,VAUXHALL            ,FRONTERA SPORT             ,,,,,,,,,,,,
201037B044595,586690,276740,0.740081,52.356882,37,2,1,1,20/03/2010,7,00:05,414,E10000029,3,134,6,60,0,-1,-1,0,0,0,6,4,2,0,7,2,1,E01030094,1,9,0,18,0,0,0,0,7,4,1,1,15,2,6,1396,1,12,10,3,ROVER               ,414S                       ,1,1,2,6,2,0,0,0,0,-1,9,3
201032C075610,524450,356570,-0.143033,53.091819,32,3,2,2,20/03/2010,7,00:10,351,E10000019,4,1192,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01026051,1,9,0,18,0,0,0,0,0,0,1,1,15,2,4,1299,1,12,5,2,,,1,1,2,4,3,0,0,0,0,-1,9,2
201032C075610,524450,356570,-0.143033,53.091819,32,3,2,2,20/03/2010,7,00:10,351,E10000019,4,1192,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01026051,2,9,0,18,0,0,0,0,0,0,2,1,15,1,4,1984,1,15,3,2,,,2,1,1,4,3,0,0,0,0,-1,9,2
20104100F0407,514510,215050,-0.339936,51.822302,41,3,2,2,20/03/2010,7,00:10,434,E10000015,4,652,6,30,0,0,-1,0,0,0,4,8,2,0,0,1,1,E01023688,1,9,0,16,0,0,0,0,0,0,1,1,15,2,7,1596,1,7,5,1,FORD                ,FOCUS INK                  ,1,1,2,7,3,0,0,0,0,-1,9,1
20104100F0407,514510,215050,-0.339936,51.822302,41,3,2,2,20/03/2010,7,00:10,434,E10000015,4,652,6,30,0,0,-1,0,0,0,4,8,2,0,0,1,1,E01023688,2,9,0,17,0,0,0,0,0,0,1,1,1,1,6,1396,1,13,6,1,,,2,1,1,6,3,0,0,0,0,-1,9,1
201097BE01903,256900,668730,-4.289752,55.890421,97,2,1,1,20/03/2010,7,00:20,926,S12000043,3,81,3,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,,1,9,0,18,0,0,0,0,0,0,1,1,15,2,5,1997,2,11,-1,1,ROVER               ,620I SD                    ,1,3,2,4,2,4,3,0,0,-1,0,1
2010170M10550,448630,516150,-1.249899,54.538302,17,2,1,1,20/03/2010,7,00:52,243,E06000002,3,1032,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01012010,1,9,0,18,0,0,1,0,7,10,4,1,15,3,-1,2946,1,9,-1,-1,CITROEN             ,C5 EXCLUSIVE SE AUTO       ,1,2,1,5,2,0,0,1,0,-1,9,1
201001SX20274,524670,196420,-0.199264,51.652705,1,3,2,1,20/03/2010,7,00:54,30,E09000003,3,1000,6,30,3,4,6,0,0,0,4,2,2,0,2,1,1,E01000250,1,9,0,18,0,8,0,11,0,0,1,1,15,1,6,2298,1,13,10,1,,,,,,,,,,,,,,
201001SX20274,524670,196420,-0.199264,51.652705,1,3,2,1,20/03/2010,7,00:54,30,E09000003,3,1000,6,30,3,4,6,0,0,0,4,2,2,0,2,1,1,E01000250,2,9,0,18,0,8,0,0,0,0,1,1,15,1,9,1497,1,8,9,1,NISSAN              ,ALMERA S                   ,1,1,1,9,3,0,0,0,0,-1,9,1
201001PY20155,544770,166500,0.078815,51.379041,1,3,2,2,20/03/2010,7,01:00,19,E09000006,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000813,1,9,0,18,0,1,0,0,0,0,1,1,15,2,4,1598,1,8,9,1,MINI                ,MINI ONE                   ,1,2,1,5,3,0,0,1,0,-1,9,1
201001PY20155,544770,166500,0.078815,51.379041,1,3,2,2,20/03/2010,7,01:00,19,E09000006,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000813,1,9,0,18,0,1,0,0,0,0,1,1,15,2,4,1598,1,8,9,1,MINI                ,MINI ONE                   ,2,2,1,5,3,0,0,2,0,-1,9,1
201001PY20155,544770,166500,0.078815,51.379041,1,3,2,2,20/03/2010,7,01:00,19,E09000006,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000813,2,9,0,9,0,8,0,0,0,0,4,1,15,1,4,-1,-1,-1,10,1,,,,,,,,,,,,,,
201032B077210,511690,333450,-0.341466,52.886892,32,3,1,1,20/03/2010,7,01:00,355,E10000019,4,1177,6,60,0,-1,-1,0,0,0,4,2,2,0,0,2,1,E01026361,1,9,0,16,0,0,0,0,7,10,1,1,15,1,4,1242,1,9,7,1,FIAT                ,PUNTO 1.2                  ,1,1,1,4,3,0,0,0,0,-1,9,1
20103102A0559,447040,358870,-1.298497,53.124914,31,3,2,2,20/03/2010,7,01:08,340,E10000024,6,0,6,30,3,4,6,0,0,0,4,9,2,0,0,1,1,E01027987,1,9,0,16,0,1,0,0,0,0,1,1,15,2,6,1124,1,12,2,1,CITROEN             ,SAXO X                     ,1,1,2,6,3,0,0,0,0,-1,9,1
20103102A0559,447040,358870,-1.298497,53.124914,31,3,2,2,20/03/2010,7,01:08,340,E10000024,6,0,6,30,3,4,6,0,0,0,4,9,2,0,0,1,1,E01027987,2,9,0,14,0,1,0,0,0,0,1,1,15,1,4,1399,2,7,1,1,FORD                ,FIESTA ZETEC TDCI          ,2,1,1,4,3,0,0,0,0,-1,9,1
201020H755112,398980,302420,-2.016511,52.619520,20,3,2,1,20/03/2010,7,01:28,307,E08000030,3,4124,6,30,6,2,6,0,0,5,4,1,2,0,0,1,1,E01010300,1,9,0,18,0,8,0,0,0,0,4,1,15,3,-1,1999,1,8,-1,-1,FORD                ,MONDEO ZETEC               ,,,,,,,,,,,,
201020H755112,398980,302420,-2.016511,52.619520,20,3,2,1,20/03/2010,7,01:28,307,E08000030,3,4124,6,30,6,2,6,0,0,5,4,1,2,0,0,1,1,E01010300,2,9,0,18,0,8,0,0,0,0,1,1,1,1,6,1998,2,2,2,1,TOYOTA              ,AVENSIS TR D-4D            ,1,1,1,6,3,0,0,0,0,-1,9,1
201006L029290,357960,405330,-2.635891,53.542912,6,2,1,1,20/03/2010,7,01:30,114,E08000010,3,49,2,30,3,2,3,49,0,5,4,2,2,0,0,1,1,E01006349,1,8,0,16,0,8,0,0,0,0,1,1,1,1,8,-1,-1,-1,2,1,MERCEDES            ,VITO 108 CDI TRAVELINER    ,1,3,1,6,2,4,3,0,0,-1,0,1
