Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201001XD89153,512310,178890,-0.383451,51.497749,1,2,1,1,17/12/2010,6,00:01,27,E09000009,6,0,6,20,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01001372,1,9,0,18,0,0,0,0,0,0,4,1,15,3,-1,-1,-1,-1,-1,-1,,,1,3,2,10,2,5,1,0,0,-1,0,1
2010982120610,285000,561150,-3.796324,54.931757,98,3,2,1,17/12/2010,6,00:01,917,S12000006,6,78,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,,1,9,0,17,0,0,1,0,0,0,1,1,2,1,7,1597,1,15,-1,1,FORD                ,ESCORT LX I                ,1,1,1,7,3,0,0,0,0,-1,9,1
2010982120610,285000,561150,-3.796324,54.931757,98,3,2,1,17/12/2010,6,00:01,917,S12000006,6,78,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,,2,21,1,17,0,0,0,0,0,0,1,1,1,1,8,12777,2,2,-1,3,VOLVO               ,                           ,,,,,,,,,,,,
201001XH30919,511100,184510,-0.399105,51.548501,1,3,2,1,17/12/2010,6,00:06,26,E09000017,3,4180,6,30,1,4,3,40,0,0,4,1,2,0,0,1,1,E01002499,1,9,0,17,0,8,0,0,0,0,1,1,15,1,5,1598,1,11,-1,-1,RENAULT             ,CLIO RXE                   ,,,,,,,,,,,,
201001XH30919,511100,184510,-0.399105,51.548501,1,3,2,1,17/12/2010,6,00:06,26,E09000017,3,4180,6,30,1,4,3,40,0,0,4,1,2,0,0,1,1,E01002499,2,9,0,5,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,7,1,,,1,2,1,-1,3,0,0,1,0,-1,9,-1
201001CW12743,529470,181930,-0.135258,51.521403,1,3,1,1,17/12/2010,6,00:10,2,E09000007,3,400,6,30,3,2,5,0,0,5,4,1,1,0,0,1,1,E01000851,1,8,0,18,0,8,0,0,0,0,1,1,1,1,8,1399,2,7,8,1,FORD                ,FIESTA ZETEC TDCI          ,1,3,2,4,3,1,1,0,0,-1,0,1
201060L230650,273260,322440,-3.880715,52.784591,60,3,1,1,17/12/2010,6,00:10,722,W06000002,3,470,6,60,0,-1,-1,0,0,0,6,3,3,0,0,2,1,W01000057,1,9,0,17,0,0,2,0,1,0,1,1,15,2,7,1910,2,3,-1,3,FIAT                ,MULTIPLA DYNAMIC JTD       ,1,2,1,3,3,0,0,1,0,-1,9,3
201050AH3R010,173100,36000,-5.179571,50.180404,50,3,1,1,17/12/2010,6,00:12,596,E06000052,5,83,6,60,0,-1,-1,0,0,0,6,3,4,0,0,2,1,E01018921,1,9,0,16,0,0,1,0,7,4,1,1,15,2,7,1997,2,5,5,2,CITROEN             ,DISPATCH HDI COMBI         ,1,2,1,8,3,0,0,1,0,-1,9,2
201001CP00355,532130,181060,-0.097265,51.512969,48,2,2,1,17/12/2010,6,00:24,570,E09000001,5,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01000004,1,9,0,3,0,8,0,0,0,0,4,1,15,1,7,-1,-1,-1,5,1,MERCEDES            ,                           ,,,,,,,,,,,,
201001CP00355,532130,181060,-0.097265,51.512969,48,2,2,1,17/12/2010,6,00:24,570,E09000001,5,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01000004,2,1,0,15,0,8,0,0,0,0,3,1,15,1,5,-1,-1,-1,10,3,,,1,1,1,5,2,0,0,0,0,-1,1,3
2010620205914,293680,182380,-3.534159,51.530239,62,2,1,1,17/12/2010,6,00:35,740,W06000013,1,4,3,70,0,-1,-1,0,0,0,7,1,4,0,0,2,1,W01000998,1,9,0,18,0,0,1,0,1,4,1,1,15,1,5,1590,1,8,-1,1,SUZUKI              ,GRAND VITARA 16V SPORT     ,1,2,1,5,2,0,0,1,0,-1,9,1
201001TA00411,529450,179940,-0.136276,51.503523,1,1,1,1,17/12/2010,6,00:50,1,E09000033,5,0,6,30,3,2,6,0,0,5,4,1,1,0,0,1,1,E01004736,1,9,0,18,0,2,1,0,0,0,1,1,1,1,8,1997,2,1,-1,-1,FORD                ,GALAXY 16V AUTO            ,1,3,1,7,1,1,3,0,0,-1,0,-1
201005AA07244,332420,388570,-3.017646,53.389616,5,3,5,1,17/12/2010,6,01:00,95,E08000015,6,0,6,30,3,4,6,0,0,0,6,1,4,0,0,1,1,E01007126,1,9,0,18,0,1,0,10,0,7,3,1,1,1,7,1753,2,1,-1,-1,FORD                ,FOCUS STYLE TD 115         ,,,,,,,,,,,,
201005AA07244,332420,388570,-3.017646,53.389616,5,3,5,1,17/12/2010,6,01:00,95,E08000015,6,0,6,30,3,4,6,0,0,0,6,1,4,0,0,1,1,E01007126,2,9,0,18,0,1,0,10,0,0,1,1,1,1,6,1686,2,3,-1,-1,,,,,,,,,,,,,,
201005AA07244,332420,388570,-3.017646,53.389616,5,3,5,1,17/12/2010,6,01:00,95,E08000015,6,0,6,30,3,4,6,0,0,0,6,1,4,0,0,1,1,E01007126,3,9,0,18,0,1,0,10,0,0,4,1,1,1,6,2792,1,2,-1,-1,,,,,,,,,,,,,,
201005AA07244,332420,388570,-3.017646,53.389616,5,3,5,1,17/12/2010,6,01:00,95,E08000015,6,0,6,30,3,4,6,0,0,0,6,1,4,0,0,1,1,E01007126,4,9,0,18,0,1,0,0,0,0,0,1,1,1,7,2792,1,2,-1,-1,,,,,,,,,,,,,,
201005AA07244,332420,388570,-3.017646,53.389616,5,3,5,1,17/12/2010,6,01:00,95,E08000015,6,0,6,30,3,4,6,0,0,0,6,1,4,0,0,1,1,E01007126,5,9,0,18,0,8,1,0,2,7,1,1,15,1,6,1596,1,4,4,1,FORD                ,FOCUS ZETEC CLIMATE 116    ,1,1,1,6,3,0,0,0,0,-1,9,1
201042I417212,563430,195210,0.360008,51.631912,42,3,2,1,17/12/2010,6,01:30,452,E10000012,3,129,6,30,0,0,-1,0,0,0,4,1,4,0,0,1,1,E01021450,1,9,0,17,0,0,1,4,8,3,3,1,15,1,4,1242,1,6,10,1,,,1,1,1,4,3,0,0,0,0,-1,9,1
201042I417212,563430,195210,0.360008,51.631912,42,3,2,1,17/12/2010,6,01:30,452,E10000012,3,129,6,30,0,0,-1,0,0,0,4,1,4,0,0,1,1,E01021450,2,9,0,2,9,0,0,0,0,0,0,1,15,1,9,1242,1,8,10,1,FIAT                ,PUNTO 1.2                  ,,,,,,,,,,,,
201032D392710,496180,365680,-0.562295,53.179521,32,3,2,2,17/12/2010,6,02:02,353,E10000019,5,1,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,1,E01026238,1,8,0,18,0,0,0,0,0,0,1,1,1,1,8,-1,-1,-1,2,1,FORD                ,TRANSIT TOURNEO GLX 130    ,1,2,1,4,3,0,0,2,0,-1,8,2
201032D392710,496180,365680,-0.562295,53.179521,32,3,2,2,17/12/2010,6,02:02,353,E10000019,5,1,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,1,E01026238,1,8,0,18,0,0,0,0,0,0,1,1,1,1,8,-1,-1,-1,2,1,FORD                ,TRANSIT TOURNEO GLX 130    ,2,2,1,4,3,0,0,2,0,-1,8,1
201032D392710,496180,365680,-0.562295,53.179521,32,3,2,2,17/12/2010,6,02:02,353,E10000019,5,1,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,1,E01026238,2,9,0,2,0,0,0,0,1,0,2,1,15,1,4,1389,1,14,7,1,VAUXHALL            ,CORSA MONTANA              ,,,,,,,,,,,,
201042I425312,600390,206490,0.899849,51.721265,42,3,1,1,17/12/2010,6,02:09,458,E10000012,6,0,6,60,3,4,6,0,0,0,6,1,4,0,0,2,1,E01021907,1,9,0,17,0,1,1,0,1,0,1,1,15,1,7,2979,1,5,7,1,BMW                 ,330I SPORT AUTO            ,1,2,1,7,3,0,0,2,0,-1,9,3
2010620205963,275160,196860,-3.806174,51.656578,62,3,1,1,17/12/2010,6,02:20,743,W06000012,3,474,1,30,1,4,3,48,0,0,4,3,3,0,0,1,1,W01000935,1,9,0,7,0,8,1,7,0,0,1,1,1,1,8,1896,2,3,-1,1,SKODA               ,OCTAVIA CLASSIC TDI        ,1,1,1,8,3,0,0,0,0,-1,9,1
2010070366179,372530,355750,-2.411715,53.098222,7,3,1,2,17/12/2010,6,02:38,129,E06000049,3,534,6,60,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01018469,1,9,0,18,0,0,5,0,7,0,1,1,1,1,6,1590,1,7,8,1,,,1,1,1,6,3,0,0,0,0,-1,9,1
2010070366179,372530,355750,-2.411715,53.098222,7,3,1,2,17/12/2010,6,02:38,129,E06000049,3,534,6,60,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01018469,1,9,0,18,0,0,5,0,7,0,1,1,1,1,6,1590,1,7,8,1,,,2,2,2,7,3,0,0,1,0,-1,9,1
2010070366195,375810,364410,-2.363387,53.176226,7,3,2,2,17/12/2010,6,03:09,129,E06000049,1,6,3,70,0,0,-1,0,0,0,6,1,2,0,0,2,1,E01018394,1,21,1,18,0,0,0,0,0,0,2,1,1,1,8,12419,2,-1,1,1,MAN                 ,                           ,,,,,,,,,,,,
2010070366195,375810,364410,-2.363387,53.176226,7,3,2,2,17/12/2010,6,03:09,129,E06000049,1,6,3,70,0,0,-1,0,0,0,6,1,2,0,0,2,1,E01018394,2,9,0,11,0,0,0,0,0,0,1,1,15,1,5,1390,1,3,1,1,,,1,1,1,5,3,0,0,0,0,-1,9,1
2010070366195,375810,364410,-2.363387,53.176226,7,3,2,2,17/12/2010,6,03:09,129,E06000049,1,6,3,70,0,0,-1,0,0,0,6,1,2,0,0,2,1,E01018394,2,9,0,11,0,0,0,0,0,0,1,1,15,1,5,1390,1,3,1,1,,,2,2,1,5,3,0,0,1,0,-1,9,1
201045GU56964,493400,153020,-0.662580,51.268632,45,2,1,1,17/12/2010,6,03:33,511,E10000030,3,324,6,50,3,4,6,0,0,8,4,1,4,0,0,2,1,E01030466,1,9,0,18,0,1,1,0,1,2,1,1,1,1,6,-1,-1,-1,9,1,FORD                ,RANGER DIESEL              ,1,1,1,6,2,0,0,0,0,-1,9,1
201020J500570,397700,283180,-2.035279,52.446547,20,3,1,1,17/12/2010,6,03:41,303,E08000027,3,456,3,50,3,4,6,0,0,0,4,1,4,0,0,1,1,E01009805,1,8,0,5,0,2,0,0,0,0,4,1,1,1,9,1997,2,9,2,1,PEUGEOT             ,                           ,1,3,2,4,3,9,5,0,0,-1,0,1
201050CB2F008,250780,129240,-4.130010,51.043026,50,3,1,1,17/12/2010,6,03:41,582,E10000008,3,39,6,60,0,0,-1,0,0,0,1,1,1,0,0,2,1,E01020119,1,9,0,18,0,0,1,0,1,9,1,1,15,1,5,1781,1,11,4,3,,,1,1,1,5,3,0,0,0,0,-1,9,3
2010130537675,411600,438260,-1.825195,53.840459,13,3,1,1,17/12/2010,6,05:18,200,E08000032,3,650,3,50,0,-1,-1,0,0,0,4,2,4,0,0,2,1,E01010596,1,9,0,18,0,0,1,0,0,0,1,1,15,1,7,1762,1,13,1,1,,,1,1,1,7,3,0,0,0,0,-1,9,1
2010460194828,628840,150310,1.274726,51.206068,46,3,2,1,17/12/2010,6,05:45,533,E10000016,6,941,6,60,0,-1,-1,0,0,0,5,8,4,0,0,2,1,E01024205,1,9,0,18,0,0,0,0,0,0,3,1,2,2,6,1390,1,8,8,1,VOLKSWAGEN          ,GOLF E                     ,,,,,,,,,,,,
2010460194828,628840,150310,1.274726,51.206068,46,3,2,1,17/12/2010,6,05:45,533,E10000016,6,941,6,60,0,-1,-1,0,0,0,5,8,4,0,0,2,1,E01024205,2,1,0,18,0,0,0,0,0,0,3,1,2,1,5,-1,-1,-1,4,2,,,1,1,1,5,3,0,0,0,0,-1,1,2
