Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2010100317110,439350,562120,-1.387112,54.952202,10,3,1,1,27/05/2010,5,00:01,149,E08000023,5,417,6,40,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01008619,1,9,0,17,0,0,0,0,1,3,1,1,15,1,6,1665,2,14,3,1,BMW                 ,318 TDS TOURING            ,1,1,1,6,3,0,0,0,0,-1,9,1
2010981111610,243530,547490,-4.435569,54.797832,98,3,2,1,27/05/2010,5,00:01,917,S12000006,3,746,6,60,3,4,4,7052,0,0,1,2,2,0,0,2,1,,1,9,0,9,0,6,0,0,0,0,1,1,15,1,5,1598,1,5,-1,3,VOLKSWAGEN          ,GOLF FSI SE                ,,,,,,,,,,,,
2010981111610,243530,547490,-4.435569,54.797832,98,3,2,1,27/05/2010,5,00:01,917,S12000006,3,746,6,60,3,4,4,7052,0,0,1,2,2,0,0,2,1,,2,9,0,18,0,1,0,0,7,0,1,1,15,1,9,1242,1,8,-1,3,FORD                ,FIESTA FREESTYLE           ,1,1,1,9,3,0,0,0,0,-1,9,3
2010231095705,433950,293410,-1.500894,52.537469,23,1,1,1,27/05/2010,5,00:02,291,E10000031,4,4111,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01031073,1,9,0,18,0,0,1,0,0,0,1,1,2,1,8,1686,2,14,1,1,VAUXHALL            ,VECTRA LS TD               ,1,3,1,4,1,9,9,0,0,-1,0,1
201097AB02605,259180,665370,-4.251579,55.860927,97,3,2,1,27/05/2010,5,00:10,926,S12000043,6,0,2,30,3,2,6,0,0,0,4,1,1,0,0,1,2,,1,9,0,11,0,1,0,0,0,0,3,1,15,1,7,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
201097AB02605,259180,665370,-4.251579,55.860927,97,3,2,1,27/05/2010,5,00:10,926,S12000043,6,0,2,30,3,2,6,0,0,0,4,1,1,0,0,1,2,,2,9,0,5,0,1,0,0,0,0,4,1,15,1,6,2521,1,1,-1,-1,,,1,2,1,5,3,0,0,1,0,-1,9,1
201054EM16510,414940,135890,-1.787926,51.122044,54,3,1,1,27/05/2010,5,00:34,635,E06000054,3,345,6,60,0,0,-1,0,0,0,6,2,2,0,7,2,1,E01032013,1,19,0,18,0,0,2,0,7,4,1,1,2,1,7,1995,2,1,5,3,VAUXHALL            ,VIVARO 2700 CDTI SWB       ,1,1,1,7,3,0,0,0,0,-1,19,3
2010130003903,444840,419690,-1.322747,53.671761,13,3,1,1,27/05/2010,5,00:40,206,E08000036,3,628,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01011767,1,9,0,16,0,0,5,0,8,10,1,1,2,2,4,1199,1,11,2,2,,,1,1,2,4,3,0,0,0,0,-1,9,2
201001PL60338,535530,171270,-0.052049,51.424186,1,3,1,1,27/05/2010,5,00:44,7,E09000023,3,213,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01003327,1,9,0,18,0,0,0,10,1,4,1,1,15,1,7,2351,1,11,5,1,MITSUBISHI          ,SPACE WAGON GLS GDI AUTO   ,1,1,1,7,3,0,0,0,0,-1,9,1
201001RY10237,547970,176230,0.128822,51.465646,1,2,1,1,27/05/2010,5,00:50,18,E09000004,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000356,1,9,0,18,0,1,0,10,1,2,1,1,15,1,4,1149,1,2,9,1,RENAULT             ,TWINGO EXTREME 60          ,1,1,1,4,2,0,0,0,0,-1,9,1
