Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200945EL33431,511220,166950,-0.402896,51.390645,45,2,1,2,04/01/2009,1,00:03,510,E10000030,6,3814,6,30,3,4,6,0,0,0,4,1,4,0,0,1,1,E01030364,1,9,0,18,0,1,1,0,7,10,4,1,15,1,8,2256,1,11,4,1,ROVER               ,623 GSI                    ,1,1,1,8,2,0,0,0,0,-1,9,1
200945EL33431,511220,166950,-0.402896,51.390645,45,2,1,2,04/01/2009,1,00:03,510,E10000030,6,3814,6,30,3,4,6,0,0,0,4,1,4,0,0,1,1,E01030364,1,9,0,18,0,1,1,0,7,10,4,1,15,1,8,2256,1,11,4,1,ROVER               ,623 GSI                    ,2,2,2,8,2,0,0,1,0,-1,9,1
200914A002409,462190,395220,-1.065019,53.450069,14,2,2,2,04/01/2009,1,00:05,211,E08000017,4,6463,6,60,0,0,-1,0,0,0,6,8,4,0,0,2,1,E01007609,1,9,0,16,0,0,0,0,0,0,1,1,15,1,8,-1,-1,-1,1,1,DAIHATSU            ,HIJET                      ,1,1,1,8,2,0,0,0,0,-1,9,1
200914A002409,462190,395220,-1.065019,53.450069,14,2,2,2,04/01/2009,1,00:05,211,E08000017,4,6463,6,60,0,0,-1,0,0,0,6,8,4,0,0,2,1,E01007609,2,9,0,17,0,0,0,0,0,0,1,1,15,1,9,1598,1,3,7,1,VOLKSWAGEN          ,TOURAN S                   ,2,2,2,9,2,0,0,1,0,-1,9,1
2009920900031,357520,817860,-2.705624,57.249518,92,3,2,2,04/01/2009,1,00:05,911,S12000034,6,0,6,30,6,3,6,0,0,0,4,1,2,0,2,2,1,,1,9,0,18,0,1,1,0,0,0,1,1,15,1,4,1796,1,6,-1,3,FORD                ,FOCUS MP3                  ,2,2,1,4,3,0,0,1,0,-1,9,3
2009920900031,357520,817860,-2.705624,57.249518,92,3,2,2,04/01/2009,1,00:05,911,S12000034,6,0,6,30,6,3,6,0,0,0,4,1,2,0,2,2,1,,2,9,0,18,0,1,1,11,7,1,4,1,15,1,8,2800,2,14,-1,3,MITSUBISHI          ,                           ,1,2,1,5,3,0,0,1,0,-1,9,3
200901ZD30202,530500,160150,-0.128435,51.325430,1,3,2,1,04/01/2009,1,00:13,20,E09000008,4,2030,6,30,0,-1,-1,0,0,0,4,8,4,0,0,1,1,E01001016,1,9,0,17,0,0,0,0,0,0,1,1,15,1,6,1998,1,13,6,1,CITROEN             ,XANTIA SX 16V              ,,,,,,,,,,,,
200901ZD30202,530500,160150,-0.128435,51.325430,1,3,2,1,04/01/2009,1,00:13,20,E09000008,4,2030,6,30,0,-1,-1,0,0,0,4,8,4,0,0,1,1,E01001016,2,9,0,16,0,0,0,0,0,0,1,1,15,2,4,1598,1,3,9,1,,,1,2,2,4,3,0,0,1,0,-1,9,1
200914C003009,441620,393030,-1.375025,53.432407,14,3,2,1,04/01/2009,1,00:15,213,E08000018,3,629,1,40,1,4,6,0,0,0,4,1,2,0,0,1,1,E01007716,1,9,0,18,0,3,0,0,0,0,4,1,15,2,6,1341,1,8,2,1,HYUNDAI             ,ACCENT GSI                 ,,,,,,,,,,,,
200914C003009,441620,393030,-1.375025,53.432407,14,3,2,1,04/01/2009,1,00:15,213,E08000018,3,629,1,40,1,4,6,0,0,0,4,1,2,0,0,1,1,E01007716,2,9,0,18,0,4,0,0,1,2,1,1,15,2,4,1242,1,9,5,1,,,1,1,2,4,3,0,0,0,0,-1,9,1
