Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2009100042009,427660,586790,-1.567249,55.174669,10,3,1,2,26/01/2009,2,00:05,145,E06000048,3,196,6,30,3,4,6,6513,0,0,4,1,1,0,0,1,1,E01027538,1,9,0,18,0,1,1,0,7,4,2,1,15,2,6,1595,1,10,4,1,AUDI                ,A3 1.6 AUTO                ,1,1,2,6,3,0,0,0,0,-1,9,1
2009100042009,427660,586790,-1.567249,55.174669,10,3,1,2,26/01/2009,2,00:05,145,E06000048,3,196,6,30,3,4,6,6513,0,0,4,1,1,0,0,1,1,E01027538,1,9,0,18,0,1,1,0,7,4,2,1,15,2,6,1595,1,10,4,1,AUDI                ,A3 1.6 AUTO                ,2,2,1,5,3,0,0,2,0,-1,9,1
2009440036281,444930,111870,-1.362398,50.904498,44,3,2,2,26/01/2009,2,00:10,500,E06000045,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01017255,1,9,0,18,0,8,1,0,1,2,1,1,1,1,7,1995,2,3,-1,-1,,,1,1,1,7,3,0,0,0,0,-1,9,-1
2009440036281,444930,111870,-1.362398,50.904498,44,3,2,2,26/01/2009,2,00:10,500,E06000045,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01017255,1,9,0,18,0,8,1,0,1,2,1,1,1,1,7,1995,2,3,-1,-1,,,2,2,2,6,3,0,0,1,0,-1,9,-1
2009440036281,444930,111870,-1.362398,50.904498,44,3,2,2,26/01/2009,2,00:10,500,E06000045,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01017255,2,8,0,18,0,2,0,0,0,0,0,1,1,1,9,1968,2,5,10,2,,,,,,,,,,,,,,
200945GU34229,496280,148440,-0.622541,51.226982,45,3,1,1,26/01/2009,2,00:17,511,E10000030,3,3,7,50,5,4,6,0,0,0,6,1,2,0,0,2,1,E01030478,1,9,0,17,0,1,1,0,0,0,1,1,15,2,5,998,1,3,8,1,TOYOTA              ,YARIS T2                   ,1,1,2,5,3,0,0,0,0,-1,9,1
2009360050854,595220,321090,0.891253,52.752118,36,3,2,1,26/01/2009,2,00:34,400,E10000020,6,0,6,60,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01026462,1,9,0,18,0,0,1,0,1,10,1,1,15,1,6,-1,-1,-1,8,3,VAUXHALL            ,ASTRA ENVOY DI             ,1,1,1,6,3,0,0,0,0,-1,9,3
2009360050854,595220,321090,0.891253,52.752118,36,3,2,1,26/01/2009,2,00:34,400,E10000020,6,0,6,60,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01026462,2,9,0,18,0,0,0,0,0,0,0,1,1,1,7,1798,1,4,10,1,,,,,,,,,,,,,,
200904AX09007,330930,436500,-3.050684,53.820167,4,3,1,2,26/01/2009,2,00:50,71,E06000009,3,586,6,30,3,2,6,0,0,0,4,1,1,0,0,1,1,E01012737,1,9,0,4,0,1,1,10,0,0,0,1,1,1,5,1248,2,2,7,1,,,1,3,1,6,3,6,9,0,0,-1,0,-1
200904AX09007,330930,436500,-3.050684,53.820167,4,3,1,2,26/01/2009,2,00:50,71,E06000009,3,586,6,30,3,2,6,0,0,0,4,1,1,0,0,1,1,E01012737,1,9,0,4,0,1,1,10,0,0,0,1,1,1,5,1248,2,2,7,1,,,2,3,1,6,3,6,9,0,0,-1,0,-1
