Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201001YR90755,532160,189430,-0.093691,51.588180,1,3,2,1,22/10/2010,6,00:12,31,E09000014,4,155,6,30,6,4,5,0,0,0,4,1,1,0,0,1,1,E01002087,1,1,0,18,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,2,1,,,1,1,1,7,3,0,0,0,0,-1,1,1
201001YR90755,532160,189430,-0.093691,51.588180,1,3,2,1,22/10/2010,6,00:12,31,E09000014,4,155,6,30,6,4,5,0,0,0,4,1,1,0,0,1,1,E01002087,2,90,0,10,0,8,0,0,0,0,4,1,15,1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
201001VK30326,518440,165300,-0.299724,51.374355,1,2,2,4,22/10/2010,6,00:20,23,E09000021,3,3,3,50,5,4,6,0,0,0,4,1,1,0,0,1,1,E01003004,1,9,0,18,0,8,0,0,0,0,1,1,15,1,5,2967,2,3,9,1,AUDI                ,Q7 SE QUATTRO TDI          ,1,1,1,5,3,0,0,0,0,-1,9,1
201001VK30326,518440,165300,-0.299724,51.374355,1,2,2,4,22/10/2010,6,00:20,23,E09000021,3,3,3,50,5,4,6,0,0,0,4,1,1,0,0,1,1,E01003004,2,9,0,18,0,8,0,0,0,0,2,1,15,1,6,1796,1,6,5,1,VAUXHALL            ,MERIVA ENJOY SEMI-AUTO     ,2,1,1,6,2,0,0,0,0,-1,9,1
201001VK30326,518440,165300,-0.299724,51.374355,1,2,2,4,22/10/2010,6,00:20,23,E09000021,3,3,3,50,5,4,6,0,0,0,4,1,1,0,0,1,1,E01003004,2,9,0,18,0,8,0,0,0,0,2,1,15,1,6,1796,1,6,5,1,VAUXHALL            ,MERIVA ENJOY SEMI-AUTO     ,3,2,1,2,3,0,0,2,0,-1,9,1
201001VK30326,518440,165300,-0.299724,51.374355,1,2,2,4,22/10/2010,6,00:20,23,E09000021,3,3,3,50,5,4,6,0,0,0,4,1,1,0,0,1,1,E01003004,2,9,0,18,0,8,0,0,0,0,2,1,15,1,6,1796,1,6,5,1,VAUXHALL            ,MERIVA ENJOY SEMI-AUTO     ,4,2,2,6,2,0,0,1,0,-1,9,1
201001HT20741,536050,182260,-0.040346,51.522823,1,3,1,1,22/10/2010,6,00:40,5,E09000030,3,11,6,30,3,4,5,0,0,4,4,1,1,0,0,1,1,E01004261,1,9,0,18,0,1,0,0,0,0,1,1,15,2,6,1199,1,8,2,1,,,1,1,2,6,3,0,0,0,0,-1,9,1
201097UC03210,242990,638010,-4.494279,55.610323,97,3,2,1,22/10/2010,6,00:52,919,S12000008,3,735,2,30,9,4,4,7073,0,4,4,2,2,0,0,1,1,,1,9,0,13,0,1,1,0,0,1,3,1,15,1,5,1998,1,7,-1,1,HONDA               ,CIVIC TYPE-R               ,,,,,,,,,,,,
201097UC03210,242990,638010,-4.494279,55.610323,97,3,2,1,22/10/2010,6,00:52,919,S12000008,3,735,2,30,9,4,4,7073,0,4,4,2,2,0,0,1,1,,2,9,0,18,0,1,0,0,1,10,1,1,15,1,4,1339,1,-1,-1,1,HONDA               ,CIVIC SE I-VTEC            ,1,1,1,4,3,0,0,0,0,-1,9,1
2010550C46406,405020,91960,-1.930261,50.727173,55,3,2,1,22/10/2010,6,01:15,643,E06000029,6,0,6,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01015461,1,9,0,18,0,2,0,0,0,0,0,1,15,1,4,1597,1,12,8,1,,,1,2,2,4,3,0,0,2,0,-1,9,1
