Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201001CW11802,530310,181570,-0.123290,51.517975,1,3,2,2,29/08/2010,1,00:01,2,E09000007,3,40,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000918,1,9,0,8,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,1,1,,,1,1,1,8,3,0,0,0,0,-1,9,1
201001CW11802,530310,181570,-0.123290,51.517975,1,3,2,2,29/08/2010,1,00:01,2,E09000007,3,40,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000918,2,11,0,18,0,8,0,0,0,0,4,1,15,1,7,8268,2,7,4,1,DENNIS              ,                           ,2,1,1,7,3,0,0,0,0,-1,11,1
201020S031120,402910,286480,-1.958595,52.476212,20,3,2,2,29/08/2010,1,00:01,300,E08000025,3,4040,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01009147,1,9,0,9,0,8,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
201020S031120,402910,286480,-1.958595,52.476212,20,3,2,2,29/08/2010,1,00:01,300,E08000025,3,4040,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01009147,2,9,0,18,0,8,0,10,1,10,1,1,15,2,6,1995,2,9,4,1,VAUXHALL            ,ZAFIRA ELEGANCE DTI 16V    ,1,1,2,6,3,0,0,0,0,-1,9,1
201020S031120,402910,286480,-1.958595,52.476212,20,3,2,2,29/08/2010,1,00:01,300,E08000025,3,4040,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01009147,2,9,0,18,0,8,0,10,1,10,1,1,15,2,6,1995,2,9,4,1,VAUXHALL            ,ZAFIRA ELEGANCE DTI 16V    ,2,2,1,3,3,0,0,1,0,-1,9,1
2010160C05041,497470,455150,-0.515084,53.983220,16,3,1,1,29/08/2010,1,00:02,231,E06000011,6,0,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01012981,1,2,0,18,0,0,0,0,0,0,4,1,15,1,4,49,1,1,8,3,PEUGEOT             ,SPEEDFIGHT 3 50            ,1,1,1,4,3,0,0,0,0,-1,2,3
201097AC01708,258230,665790,-4.266965,55.864419,97,3,1,1,29/08/2010,1,00:05,926,S12000043,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,,1,9,0,5,0,1,0,0,0,0,3,1,15,1,5,1968,2,1,-1,-1,AUDI                ,A4 SE TDI 6SP              ,1,3,1,6,3,5,3,0,0,-1,0,1
201001XD80619,514050,180250,-0.357956,51.509625,1,3,2,1,29/08/2010,1,00:10,27,E09000009,3,4020,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01001338,1,3,0,18,0,0,0,0,0,0,3,1,15,1,4,125,1,12,9,3,APRILIA             ,                           ,1,1,1,4,3,0,0,0,0,-1,3,3
201001XD80619,514050,180250,-0.357956,51.509625,1,3,2,1,29/08/2010,1,00:10,27,E09000009,3,4020,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01001338,2,9,0,11,0,0,0,0,0,0,4,1,15,3,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
201097LB12108,191080,734760,-5.392386,56.458605,97,3,1,3,29/08/2010,1,00:10,913,S12000035,3,828,6,30,0,-1,-1,0,0,0,4,5,1,0,0,2,1,,1,9,0,18,0,0,1,0,8,10,1,1,15,1,4,973,1,8,-1,2,VAUXHALL            ,CORSA LIFE 12V             ,1,2,1,4,3,0,0,1,0,-1,9,2
201097LB12108,191080,734760,-5.392386,56.458605,97,3,1,3,29/08/2010,1,00:10,913,S12000035,3,828,6,30,0,-1,-1,0,0,0,4,5,1,0,0,2,1,,1,9,0,18,0,0,1,0,8,10,1,1,15,1,4,973,1,8,-1,2,VAUXHALL            ,CORSA LIFE 12V             ,2,2,1,4,3,0,0,2,0,-1,9,2
201097LB12108,191080,734760,-5.392386,56.458605,97,3,1,3,29/08/2010,1,00:10,913,S12000035,3,828,6,30,0,-1,-1,0,0,0,4,5,1,0,0,2,1,,1,9,0,18,0,0,1,0,8,10,1,1,15,1,4,973,1,8,-1,2,VAUXHALL            ,CORSA LIFE 12V             ,3,2,1,4,3,0,0,2,0,-1,9,2
201037L018392,646210,276490,1.612285,52.331165,37,3,1,2,29/08/2010,1,00:15,415,E10000029,3,1095,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01030219,1,9,0,16,0,0,0,0,1,4,4,1,15,2,5,1596,1,10,-1,-1,,,1,1,2,5,3,0,0,0,0,-1,9,-1
201037L018392,646210,276490,1.612285,52.331165,37,3,1,2,29/08/2010,1,00:15,415,E10000029,3,1095,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01030219,1,9,0,16,0,0,0,0,1,4,4,1,15,2,5,1596,1,10,-1,-1,,,2,2,1,5,3,0,0,1,0,-1,9,2
2010331004987,460750,302200,-1.104195,52.614156,33,3,2,1,29/08/2010,1,00:16,364,E06000016,3,6,6,30,6,2,3,6030,0,5,4,1,1,0,0,1,1,E01013712,1,9,0,18,0,8,0,0,0,0,4,1,15,1,4,1390,1,1,10,1,SEAT                ,IBIZA SPORT 84             ,1,2,2,-1,3,0,0,1,0,-1,9,1
2010331004987,460750,302200,-1.104195,52.614156,33,3,2,1,29/08/2010,1,00:16,364,E06000016,3,6,6,30,6,2,3,6030,0,5,4,1,1,0,0,1,1,E01013712,2,9,0,9,0,5,0,0,0,0,1,1,15,2,9,1896,2,8,4,1,FORD                ,GALAXY GHIA TDI            ,,,,,,,,,,,,
