Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2010460184964,621680,150170,1.172307,51.207632,46,3,1,1,25/03/2010,5,00:01,531,E10000016,3,2,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01024042,1,9,0,18,0,0,1,0,2,6,1,1,15,1,8,1753,2,11,7,1,FORD                ,ESCORT FINESSE TD          ,1,1,1,8,3,0,0,0,0,-1,9,1
201004BA10038,348810,459100,-2.782904,54.025347,4,2,1,1,25/03/2010,5,00:10,76,E10000017,5,474,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01025142,1,9,0,17,0,0,0,0,1,4,1,1,15,1,4,1596,1,8,8,1,,,1,2,2,4,2,0,0,1,0,-1,9,1
201001JI40142,540150,190250,0.021895,51.593619,1,3,1,1,25/03/2010,5,00:16,14,E09000026,3,11,6,30,0,-1,-1,0,0,0,7,2,2,0,0,1,1,E01003674,1,9,0,18,0,0,0,0,0,0,1,1,15,1,4,1560,2,1,8,1,PEUGEOT             ,207 SPORT HDI 90           ,1,3,1,6,3,5,1,0,0,-1,0,1
20105500D1122,358930,116890,-2.586056,50.949911,55,3,1,1,25/03/2010,5,00:30,645,E10000009,6,0,6,40,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01020541,1,9,0,18,0,0,0,0,0,0,1,1,15,1,7,1986,1,21,6,3,VOLVO               ,740 GL S/R                 ,1,1,1,7,3,0,0,0,0,-1,9,3
201001CW10519,528530,179790,-0.149579,51.502385,1,3,1,3,25/03/2010,5,00:54,1,E09000033,3,4,6,30,3,4,5,0,0,7,5,1,1,0,0,1,1,E01004731,1,8,0,18,0,1,0,7,0,0,1,1,1,1,7,2499,2,3,9,1,LONDON TAXIS INT    ,TX4 SILVER AUTO            ,1,1,1,7,3,0,0,0,0,-1,8,1
201001CW10519,528530,179790,-0.149579,51.502385,1,3,1,3,25/03/2010,5,00:54,1,E09000033,3,4,6,30,3,4,5,0,0,7,5,1,1,0,0,1,1,E01004731,1,8,0,18,0,1,0,7,0,0,1,1,1,1,7,2499,2,3,9,1,LONDON TAXIS INT    ,TX4 SILVER AUTO            ,2,2,2,4,3,0,0,2,0,-1,8,1
201001CW10519,528530,179790,-0.149579,51.502385,1,3,1,3,25/03/2010,5,00:54,1,E09000033,3,4,6,30,3,4,5,0,0,7,5,1,1,0,0,1,1,E01004731,1,8,0,18,0,1,0,7,0,0,1,1,1,1,7,2499,2,3,9,1,LONDON TAXIS INT    ,TX4 SILVER AUTO            ,3,2,1,4,3,0,0,2,0,-1,8,1
2010070082835,349220,350150,-2.758930,53.046174,7,3,1,1,25/03/2010,5,01:05,130,E06000050,3,41,6,60,0,0,-1,0,0,0,6,2,2,0,0,2,1,E01018356,1,9,0,18,0,0,0,10,7,10,4,1,15,2,5,1984,1,1,8,3,VOLKSWAGEN          ,SCIROCCO GT                ,1,1,2,5,3,0,0,0,0,-1,9,3
20105500D1123,366250,85100,-2.478922,50.664519,55,3,2,3,25/03/2010,5,01:05,646,E10000009,4,3159,6,30,0,0,-1,0,0,0,4,1,1,0,0,2,1,E01020570,1,9,0,1,0,0,0,0,0,0,2,1,1,1,7,1753,2,1,8,2,FORD                ,FOCUS STYLE TD 115         ,2,2,1,6,3,0,0,1,0,-1,9,2
20105500D1123,366250,85100,-2.478922,50.664519,55,3,2,3,25/03/2010,5,01:05,646,E10000009,4,3159,6,30,0,0,-1,0,0,0,4,1,1,0,0,2,1,E01020570,2,9,0,2,0,0,0,0,0,0,3,1,15,1,4,1124,1,9,4,1,PEUGEOT             ,106 XN ZEST 2              ,1,1,1,4,3,0,0,0,0,-1,9,1
