Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2009920900561,393800,806830,-2.104096,57.152371,92,3,2,1,03/02/2009,3,,910,S12000033,6,0,6,30,6,2,6,0,0,5,4,2,2,0,0,1,1,,1,9,0,18,0,1,0,0,1,1,3,1,15,2,6,1896,2,10,-1,1,SKODA               ,OCTAVIA SLX TDI            ,,,,,,,,,,,,
2009920900561,393800,806830,-2.104096,57.152371,92,3,2,1,03/02/2009,3,,910,S12000033,6,0,6,30,6,2,6,0,0,5,4,2,2,0,0,1,1,,2,9,0,18,0,1,0,0,7,1,4,1,15,1,6,1396,1,7,-1,1,MG                  ,ZR                         ,1,1,1,6,3,0,0,0,0,-1,9,1
2009950000886,300640,677100,-3.593797,55.976614,95,3,1,1,03/02/2009,3,00:01,940,S12000040,6,0,9,30,9,4,6,0,0,0,4,9,2,0,0,1,2,,1,9,0,9,0,5,0,0,0,0,1,1,15,1,6,1798,1,8,-1,1,,,1,3,1,4,3,10,9,0,0,-1,0,1
200901MM70057,532680,175390,-0.091473,51.461886,1,3,1,1,03/02/2009,3,00:45,8,E09000028,3,215,6,30,3,4,6,0,0,0,4,8,4,0,0,1,1,E01004047,1,9,0,11,0,1,0,0,1,0,1,1,15,1,7,1798,1,8,2,1,,,1,1,1,7,3,0,0,0,0,-1,9,1
200997NE00502,287350,663190,-3.800855,55.848758,97,3,1,1,03/02/2009,3,00:45,932,S12000044,4,7057,6,60,6,4,6,0,0,0,6,6,3,0,2,2,1,,1,9,0,18,0,1,1,0,7,3,1,1,15,1,6,1598,1,10,-1,1,,,1,1,1,6,3,0,0,0,0,-1,9,1
200954EW05509,408420,131230,-1.881194,51.080272,54,2,1,1,03/02/2009,3,00:50,632,E06000054,3,30,6,40,0,0,-1,0,0,0,6,3,4,0,0,2,1,E01032040,1,9,0,17,0,0,0,0,1,10,1,1,2,1,7,1800,1,14,6,3,,,1,1,1,7,2,0,0,0,0,-1,9,3
2009520901145,306660,142580,-3.336641,51.174758,52,3,1,1,03/02/2009,3,01:00,609,E10000027,4,3190,6,40,0,-1,-1,0,0,0,6,3,3,0,0,2,1,E01029341,1,9,0,17,0,0,2,0,1,10,2,1,15,2,7,-1,-1,-1,3,2,,,1,1,2,7,3,0,0,0,0,-1,9,2
2009030000306,358160,512460,-2.647662,54.505731,3,3,1,1,03/02/2009,3,01:06,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,6,6,3,0,0,2,1,E01019337,1,19,0,18,0,0,2,0,4,0,0,1,15,1,7,2400,2,3,-1,1,,,1,2,2,6,3,0,0,0,0,-1,19,1
2009620187303,316430,182650,-3.206340,51.536496,62,3,1,1,03/02/2009,3,01:36,741,W06000015,4,4623,6,40,0,-1,-1,0,0,0,4,3,4,0,0,1,1,W01001852,1,9,0,17,0,0,2,0,7,0,0,1,2,2,6,2493,1,11,-1,-1,,,1,1,2,6,3,0,0,0,0,-1,9,-1
200914B022609,433770,410190,-1.491330,53.587205,14,3,2,1,03/02/2009,3,02:30,210,E08000016,3,61,6,40,0,0,-1,0,0,0,1,1,4,0,0,2,2,E01007362,1,9,0,18,0,0,1,0,0,0,4,1,2,2,5,1360,1,7,3,1,CITROEN             ,SAXO FURIO                 ,1,1,2,5,3,0,0,0,0,-1,9,1
200914B022609,433770,410190,-1.491330,53.587205,14,3,2,1,03/02/2009,3,02:30,210,E08000016,3,61,6,40,0,0,-1,0,0,0,1,1,4,0,0,2,2,E01007362,2,9,0,18,0,0,1,0,0,0,4,1,2,1,-1,1596,1,7,6,1,,,,,,,,,,,,,,
200945WA34711,484400,145560,-0.793312,51.202969,45,3,1,1,03/02/2009,3,02:57,517,E10000030,3,287,6,30,6,2,6,0,0,4,4,3,3,0,0,1,1,E01030883,1,9,0,5,0,8,0,0,0,0,1,1,15,3,-1,1390,1,2,-1,-1,SEAT                ,IBIZA DAB 16V              ,1,3,1,5,3,1,9,0,0,-1,0,1
2009219001103,391710,342790,-2.124933,52.982367,21,3,1,2,03/02/2009,3,03:06,257,E06000021,3,50,7,50,5,4,3,50,0,0,4,3,2,0,0,1,1,E01014302,1,9,0,7,0,5,5,10,1,2,1,1,15,1,4,1968,2,4,8,1,AUDI                ,A6 TDI S LINE              ,1,2,1,-1,3,0,0,1,0,-1,9,-1
2009219001103,391710,342790,-2.124933,52.982367,21,3,1,2,03/02/2009,3,03:06,257,E06000021,3,50,7,50,5,4,3,50,0,0,4,3,2,0,0,1,1,E01014302,1,9,0,7,0,5,5,10,1,2,1,1,15,1,4,1968,2,4,8,1,AUDI                ,A6 TDI S LINE              ,2,1,1,4,3,0,0,0,0,-1,9,1
2009520901292,336480,116530,-2.905551,50.944633,52,3,1,1,03/02/2009,3,04:35,610,E10000027,3,303,3,60,0,-1,-1,0,0,0,6,3,3,0,0,2,1,E01029193,1,19,0,18,0,0,1,0,1,9,4,1,1,1,9,-1,-1,-1,5,2,,,1,1,1,9,3,0,0,0,0,-1,19,2
200950GA2A001,199230,57610,-4.825545,50.383956,50,3,2,1,03/02/2009,3,06:00,595,E06000052,5,298,6,30,0,0,-1,0,0,0,6,6,3,0,0,2,2,E01019053,1,9,0,2,0,0,0,0,0,0,2,1,15,1,-1,-1,-1,-1,-1,-1,FORD                ,TRANSIT 350 MWB TD         ,,,,,,,,,,,,
200950GA2A001,199230,57610,-4.825545,50.383956,50,3,2,1,03/02/2009,3,06:00,595,E06000052,5,298,6,30,0,0,-1,0,0,0,6,6,3,0,0,2,2,E01019053,2,9,0,2,0,0,0,0,0,0,1,1,15,1,8,1299,1,5,3,2,,,1,1,1,8,3,0,0,0,0,-1,9,2
2009520901296,354050,125160,-2.656570,51.023904,52,3,2,1,03/02/2009,3,06:00,610,E10000027,3,303,3,70,0,-1,-1,0,0,0,6,3,3,0,0,2,1,E01029199,1,9,0,18,0,0,0,0,0,0,4,1,15,1,7,-1,-1,-1,4,1,,,,,,,,,,,,,,
2009520901296,354050,125160,-2.656570,51.023904,52,3,2,1,03/02/2009,3,06:00,610,E10000027,3,303,3,70,0,-1,-1,0,0,0,6,3,3,0,0,2,1,E01029199,2,9,0,13,0,0,1,0,0,0,4,1,1,1,5,-1,-1,-1,8,3,,,1,1,1,5,3,0,0,0,0,-1,9,3
2009470900935,529200,134620,-0.156271,51.096278,47,3,1,1,03/02/2009,3,06:13,560,E10000032,1,23,3,70,0,0,-1,0,0,0,6,3,4,0,0,1,1,E01031582,1,9,0,18,0,0,1,0,2,7,1,1,1,1,6,1988,1,8,10,1,LEXUS               ,IS200 SE AUTO              ,1,1,1,6,3,0,0,0,0,-1,9,1
2009130098609,438940,424590,-1.411434,53.716273,13,3,2,2,03/02/2009,3,06:30,206,E08000036,6,0,6,30,0,-1,-1,0,0,0,4,8,3,0,0,2,1,E01011883,1,9,0,16,0,0,1,0,0,0,1,1,2,1,5,1753,2,11,2,1,,,1,1,1,5,3,0,0,0,0,-1,9,1
2009130098609,438940,424590,-1.411434,53.716273,13,3,2,2,03/02/2009,3,06:30,206,E08000036,6,0,6,30,0,-1,-1,0,0,0,4,8,3,0,0,2,1,E01011883,2,9,0,5,0,0,0,0,0,0,1,1,2,1,8,1984,1,8,1,1,,,2,1,1,8,3,0,0,0,0,-1,9,1
