Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2009100072309,438070,556900,-1.407786,54.905394,10,3,1,1,04/02/2009,4,00:10,150,E08000024,5,511,6,30,3,4,6,235,0,0,4,1,1,0,0,1,1,E01008704,1,9,0,18,0,1,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1,,,1,3,2,6,3,6,9,0,0,-1,0,1
200930D000088,435840,331990,-1.468834,52.884159,30,3,2,1,04/02/2009,4,00:25,323,E06000015,5,67,6,40,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01013584,1,9,0,4,0,0,0,0,0,0,2,1,15,2,4,1242,1,5,7,1,FIAT                ,PUNTO ACTIVE SPORT 8V      ,,,,,,,,,,,,
200930D000088,435840,331990,-1.468834,52.884159,30,3,2,1,04/02/2009,4,00:25,323,E06000015,5,67,6,40,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01013584,2,9,0,18,0,0,0,0,0,0,1,1,15,1,4,1596,1,6,2,1,,,1,1,1,4,3,0,0,0,0,-1,9,1
200991NH00636,142400,933630,-6.388002,58.215983,91,3,1,1,04/02/2009,4,00:50,941,S12000013,4,8027,1,30,1,4,3,857,0,8,4,8,2,0,0,2,1,,1,9,0,16,0,4,1,10,0,7,1,1,15,1,5,3239,1,12,-1,2,JAGUAR              ,XJ6 SPORT AUTO             ,1,2,2,4,3,0,0,1,0,-1,9,-1
2009520901396,353390,177170,-2.672772,51.491494,52,3,1,1,04/02/2009,4,01:25,601,E06000023,6,0,6,30,0,-1,-1,0,0,0,4,3,3,0,0,1,1,E01014497,1,9,0,18,0,0,1,0,1,1,1,1,15,1,6,-1,-1,-1,3,1,,,1,1,1,6,3,0,0,0,0,-1,9,1
200945SP34538,502190,172290,-0.531094,51.440342,45,3,3,1,04/02/2009,4,01:26,40,E10000030,3,30,3,70,3,4,1,25,0,0,4,1,2,0,0,2,1,E01016576,1,9,0,18,0,5,1,0,4,6,3,1,15,1,-1,-1,-1,-1,-1,-1,,,1,2,1,4,3,0,0,1,0,-1,9,-1
200945SP34538,502190,172290,-0.531094,51.440342,45,3,3,1,04/02/2009,4,01:26,40,E10000030,3,30,3,70,3,4,1,25,0,0,4,1,2,0,0,2,1,E01016576,2,9,0,18,0,7,1,0,4,6,1,1,15,1,-1,1988,1,6,-1,-1,SAAB                ,9-3 VECTOR 150 BHP         ,,,,,,,,,,,,
200945SP34538,502190,172290,-0.531094,51.440342,45,3,3,1,04/02/2009,4,01:26,40,E10000030,3,30,3,70,3,4,1,25,0,0,4,1,2,0,0,2,1,E01016576,3,9,0,18,0,7,0,0,0,0,0,1,1,1,6,2401,1,4,9,2,,,,,,,,,,,,,,
200901JI40022,543110,187250,0.063377,51.565918,1,3,2,1,04/02/2009,4,02:05,14,E09000026,5,0,6,30,3,4,6,0,0,0,4,8,4,0,0,1,1,E01003788,1,9,0,18,0,8,0,0,0,0,1,1,15,1,5,1762,1,11,3,1,,,,,,,,,,,,,,
200901JI40022,543110,187250,0.063377,51.565918,1,3,2,1,04/02/2009,4,02:05,14,E09000026,5,0,6,30,3,4,6,0,0,0,4,8,4,0,0,1,1,E01003788,2,9,0,7,0,8,0,0,0,0,1,1,15,2,7,-1,-1,-1,-1,-1,,,1,2,1,5,3,0,0,1,0,-1,9,1
