Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200901TX20748,518300,178310,-0.297393,51.491316,1,3,2,1,01/12/2009,3,00:05,25,E09000018,1,4,3,40,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002566,1,9,0,3,0,0,0,0,0,0,2,1,1,2,9,1498,1,1,3,1,MERCEDES            ,A150 ELEGANCE SE CVT       ,1,1,2,9,3,0,0,0,0,-1,9,1
200901TX20748,518300,178310,-0.297393,51.491316,1,3,2,1,01/12/2009,3,00:05,25,E09000018,1,4,3,40,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002566,2,19,0,18,0,0,1,0,0,0,1,1,1,1,7,2800,2,8,9,1,FIAT                ,DUCATO 14 D LWB            ,,,,,,,,,,,,
200943P015129,476690,181520,-0.895902,51.527342,43,2,1,3,01/12/2009,3,00:07,484,E10000025,3,4155,6,30,3,4,6,0,0,1,1,1,2,0,0,1,1,E01028653,1,9,0,18,0,2,1,0,7,2,4,1,15,1,4,1998,1,11,10,2,RENAULT             ,LAGUNA RT 8V               ,1,1,1,4,3,0,0,0,0,-1,9,2
200943P015129,476690,181520,-0.895902,51.527342,43,2,1,3,01/12/2009,3,00:07,484,E10000025,3,4155,6,30,3,4,6,0,0,1,1,1,2,0,0,1,1,E01028653,1,9,0,18,0,2,1,0,7,2,4,1,15,1,4,1998,1,11,10,2,RENAULT             ,LAGUNA RT 8V               ,2,2,2,4,3,0,0,1,0,-1,9,3
200943P015129,476690,181520,-0.895902,51.527342,43,2,1,3,01/12/2009,3,00:07,484,E10000025,3,4155,6,30,3,4,6,0,0,1,1,1,2,0,0,1,1,E01028653,1,9,0,18,0,2,1,0,7,2,4,1,15,1,4,1998,1,11,10,2,RENAULT             ,LAGUNA RT 8V               ,3,2,2,4,2,0,0,2,0,-1,9,3
2009440517279,439440,112800,-1.440372,50.913261,44,2,1,1,01/12/2009,3,00:15,500,E06000045,3,33,3,50,8,4,6,0,0,0,4,1,1,0,0,1,1,E01017216,1,8,0,12,0,2,0,0,0,0,4,1,1,1,10,2499,2,1,4,1,LONDON TAXIS INT    ,TX4 BRONZE                 ,1,3,1,4,2,8,1,0,0,-1,0,1
200920E153201,403650,283400,-1.947733,52.448518,20,3,2,1,01/12/2009,3,00:36,300,E08000025,3,4040,2,30,6,4,6,0,0,4,4,8,4,0,0,1,1,E01009076,1,9,0,18,0,8,1,7,1,7,1,1,15,1,5,1587,1,8,1,1,CITROEN             ,SAXO VTR                   ,1,1,1,5,3,0,0,0,0,-1,9,1
200920E153201,403650,283400,-1.947733,52.448518,20,3,2,1,01/12/2009,3,00:36,300,E08000025,3,4040,2,30,6,4,6,0,0,4,4,8,4,0,0,1,1,E01009076,2,9,0,18,0,1,0,0,0,0,0,1,1,1,-1,1686,2,2,3,1,VAUXHALL            ,ASTRA SPECIAL CDTI         ,,,,,,,,,,,,
200901XH30771,506890,182930,-0.460278,51.535112,1,3,2,1,01/12/2009,3,00:45,26,E09000017,3,4020,3,40,0,-1,-1,0,0,4,4,1,2,0,0,1,1,E01002414,1,9,0,18,9,0,0,10,1,0,4,1,15,1,6,-1,-1,-1,3,1,,,,,,,,,,,,,,
200901XH30771,506890,182930,-0.460278,51.535112,1,3,2,1,01/12/2009,3,00:45,26,E09000017,3,4020,3,40,0,-1,-1,0,0,4,4,1,2,0,0,1,1,E01002414,2,1,0,18,9,0,0,0,0,0,3,1,15,1,8,-1,-1,-1,6,2,,,1,1,1,8,3,0,0,0,0,-1,1,2
2009230991364,419670,252770,-1.713799,52.172807,23,2,1,1,01/12/2009,3,00:46,293,E10000031,4,4632,6,60,0,-1,-1,0,0,0,6,8,4,0,0,2,1,E01031248,1,9,0,17,0,0,1,6,8,10,1,1,15,2,4,1108,1,9,6,2,FIAT                ,SEICENTO SPORTING          ,1,1,2,4,2,0,0,0,0,-1,9,2
2009350425509,542650,260680,0.087104,52.225815,35,3,1,1,01/12/2009,3,00:51,395,E10000003,3,1307,6,30,3,4,5,198,0,0,4,1,2,0,0,1,1,E01018248,1,9,0,9,0,2,1,0,1,2,1,1,1,1,4,1896,2,1,9,3,SEAT                ,IBIZA SPORTRIDER TDI       ,1,1,1,4,3,0,0,0,0,-1,9,3
2009609227002,334250,349400,-2.982049,53.037799,60,3,2,1,01/12/2009,3,01:14,725,W06000006,3,525,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,W01000382,1,9,0,18,0,0,1,10,7,10,1,1,15,1,5,-1,-1,-1,-1,1,,,1,1,1,5,3,0,0,0,0,-1,9,1
2009609227002,334250,349400,-2.982049,53.037799,60,3,2,1,01/12/2009,3,01:14,725,W06000006,3,525,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,W01000382,2,9,0,2,0,0,0,0,0,0,1,1,15,1,6,1598,1,11,-1,2,VAUXHALL            ,ASTRA CLUB 8V              ,,,,,,,,,,,,
200901KD50577,558640,188030,0.287612,51.568774,1,3,1,1,01/12/2009,3,01:20,15,E09000016,1,25,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01002252,1,9,0,18,0,0,1,10,5,6,1,1,15,1,4,1975,1,12,7,1,HYUNDAI             ,COUPE SPECIAL EQUIPMENT    ,1,1,1,4,3,0,0,0,0,-1,9,1
2009920905106,392650,816860,-2.123404,57.242455,92,3,1,1,01/12/2009,3,03:00,911,S12000034,4,977,6,60,8,4,-1,-1,0,0,6,1,4,0,0,2,1,,1,9,0,17,0,1,1,0,1,10,1,1,15,1,7,1948,1,10,-1,1,,,1,1,1,7,3,0,0,0,0,-1,9,1
200906M024829,378450,391220,-2.325717,53.417328,6,3,2,1,01/12/2009,3,03:45,112,E08000009,3,6144,6,30,0,0,-1,0,0,0,4,1,1,0,0,1,1,E01006097,1,19,0,3,0,0,0,0,0,0,4,1,1,1,5,1753,2,1,-1,-1,FORD                ,TRANSIT CONN T230 L90      ,,,,,,,,,,,,
200906M024829,378450,391220,-2.325717,53.417328,6,3,2,1,01/12/2009,3,03:45,112,E08000009,3,6144,6,30,0,0,-1,0,0,0,4,1,1,0,0,1,1,E01006097,2,1,0,18,0,0,0,0,0,0,3,1,15,1,5,-1,-1,-1,-1,-1,,,1,1,1,5,3,0,0,0,0,-1,1,-1
200932C355909,518550,388870,-0.219083,53.383366,32,3,1,1,01/12/2009,3,04:00,351,E10000019,3,631,6,60,6,4,4,1225,0,0,6,1,4,0,0,2,1,E01026071,1,90,0,18,0,2,2,0,1,9,1,1,15,1,5,-1,-1,-1,-1,-1,MERCEDES            ,SPRINTER 210D SWB          ,1,1,1,5,3,0,0,0,0,-1,90,-1
2009950009561,330120,673720,-3.120630,55.951452,95,3,1,1,01/12/2009,3,04:00,923,S12000036,6,0,6,40,0,-1,-1,0,0,0,1,1,4,0,0,1,1,,1,9,0,18,9,0,0,10,0,0,4,1,15,1,4,1997,2,4,-1,1,CITROEN             ,C4 VTS HDI                 ,1,1,1,4,3,0,0,0,0,-1,9,1
2009940902596,325800,701480,-3.197503,56.200166,94,3,2,1,01/12/2009,3,04:30,925,S12000015,6,0,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,1,,1,90,0,5,0,0,0,0,0,0,1,1,15,3,7,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
2009940902596,325800,701480,-3.197503,56.200166,94,3,2,1,01/12/2009,3,04:30,925,S12000015,6,0,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,1,,2,1,0,18,0,0,0,0,0,0,3,1,15,1,6,-1,-1,-1,-1,1,,,1,1,1,6,3,0,0,0,0,-1,1,1
2009440517374,472750,138980,-0.961367,51.145411,44,3,1,1,01/12/2009,3,04:31,497,E10000014,4,3004,6,60,0,-1,-1,0,0,0,6,2,4,0,0,2,1,E01022573,1,9,0,18,0,0,2,0,0,10,1,1,2,2,7,1995,1,5,8,1,CHRYSLER            ,PT CRUISER CLASSIC         ,1,1,2,7,3,0,0,0,0,-1,9,1
2009470909025,557620,112230,0.239587,50.887990,47,3,1,1,01/12/2009,3,05:03,556,E10000011,3,267,6,60,0,0,-1,0,0,0,6,8,4,0,0,2,1,E01021195,1,5,0,16,0,0,1,0,1,0,1,1,1,1,7,919,1,8,3,1,HONDA               ,CB900F-2 HORNET            ,1,1,1,7,3,0,0,0,0,-1,5,1
